"",BBEX3.M.SBD.EUR.CM.AA.A01,BBEX3.M.SBD.EUR.CM.AA.A01_FLAGS
"",Exchange rates for the euro in the Solomon Islands / SBD 1 = EUR ... (buying),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:35,
1999-01,0.17900,
1999-02,0.17213,
1999-03,0.19501,
1999-04,0.19429,
1999-05,0.19897,
1999-06,0.20070,
1999-07,0.19030,
1999-08,0.19470,
1999-09,0.18710,
1999-10,0.18890,
1999-11,0.19680,
1999-12,0.19700,
2000-01,0.20230,
2000-02,0.20460,
2000-03,0.20630,
2000-04,0.21700,
2000-05,0.21160,
2000-06,0.20700,
2000-07,0.21290,
2000-08,0.22080,
2000-09,0.22330,
2000-10,0.23350,
2000-11,0.22930,
2000-12,0.21580,
2001-01,0.21250,
2001-02,0.21450,
2001-03,0.21990,
2001-04,0.21550,
2001-05,0.22300,
2001-06,0.22410,
2001-07,0.21690,
2001-08,0.20790,
2001-09,0.20380,
2001-10,0.20430,
2001-11,0.20670,
2001-12,0.20460,
2002-01,0.19890,
2002-02,0.19240,
2002-03,0.15020,comment
2002-04,0.17580,
2002-05,0.16470,
2002-06,0.14210,
2002-07,0.14090,
2002-08,0.13970,
2002-09,0.13920,
2002-10,0.13720,
2002-11,0.13610,
2002-12,0.12920,
2003-01,0.12540,
2003-02,0.12520,
2003-03,0.12450,
2003-04,0.12170,
2003-05,0.11380,
2003-06,0.11730,
2003-07,0.11770,
2003-08,0.12270,
2003-09,0.11610,
2003-10,0.11480,
2003-11,0.11270,
2003-12,0.10750,
2004-01,0.10860,
2004-02,0.10840,
2004-03,0.11060,
2004-04,0.11280,
2004-05,0.11010,
2004-06,0.11150,
2004-07,0.11180,
2004-08,0.11290,
2004-09,0.10980,
2004-10,0.10630,
2004-11,0.10200,
2004-12,0.09940,
2005-01,0.10370,
2005-02,0.10210,
2005-03,0.10450,
2005-04,0.10480,
2005-05,0.10820,
2005-06,0.11200,
2005-07,0.10980,
2005-08,0.10880,
2005-09,0.11010,
2005-10,0.10950,
2005-11,0.11220,
2005-12,0.11160,
2006-01,0.10860,
2006-02,0.11130,
2006-03,0.10830,
2006-04,0.10500,
2006-05,0.10230,
2006-06,0.10400,
2006-07,0.10320,
2006-08,0.10240,
2006-09,0.10340,
2006-10,0.10590,
2006-11,0.10230,
2006-12,0.10240,
2007-01,0.10390,
2007-02,0.10160,
2007-03,0.10100,
2007-04,0.09870,
2007-05,0.10010,
2007-06,0.10010,
2007-07,0.09810,
2007-08,0.09850,
2007-09,0.09470,
2007-10,0.09280,
2007-11,0.09080,
2007-12,0.09110,
2008-01,0.09010,
2008-02,0.08810,
2008-03,0.08480,
2008-04,0.08600,
2008-05,0.08550,
2008-06,0.08490,
2008-07,0.08590,
2008-08,0.09030,
2008-09,0.09120,
2008-10,0.10020,
2008-11,0.10000,
2008-12,0.09090,
2009-01,0.09890,
2009-02,0.10020,
2009-03,0.09670,
2009-04,0.09620,
2009-05,0.09150,
2009-06,0.09040,
2009-07,0.09080,
2009-08,0.08900,
2009-09,0.08740,
2009-10,0.08590,
2009-11,0.08500,
2009-12,0.08890,
2010-01,0.09120,
2010-02,0.09410,
2010-03,0.09460,
2010-04,0.09630,
2010-05,0.10410,
2010-06,0.10170,
2010-07,0.09760,
2010-08,0.10080,
2010-09,0.09360,
2010-10,0.09150,
2010-11,0.09710,
2010-12,0.09660,
2011-01,0.09330,
2011-02,0.09370,
2011-03,0.09150,
2011-04,0.08780,
2011-05,0.09180,
2011-06,0.09590,
2011-07,0.09680,
2011-08,0.09670,
2011-09,0.10250,
2011-10,0.09880,
2011-11,0.10590,
2011-12,0.10880,
2012-01,0.10750,
2012-02,0.10500,
2012-03,0.10610,
2012-04,0.10650,
2012-05,0.11390,
2012-06,0.11320,
2012-07,0.11490,
2012-08,0.11270,
2012-09,0.10920,
2012-10,0.10830,
2012-11,0.10860,
2012-12,0.10680,
2013-01,0.10410,
2013-02,0.10840,
2013-03,0.11090,
2013-04,0.10860,
2013-05,0.10910,
2013-06,0.10920,comment
"","Source: November 2011 - June 2013 Bank South Pacific, Honiara August 2004 - October 2011 Westpac Banking Corporation, Honiara 1999 - July 2004 Central Bank of Solomon Islands, Honiara",
"","Comment on 2002-03: On 26 March 2002, the Solomon Islands dollar was devalued by just over 20%. However, this decision was reversed on 3 April and the exchange rate for the Solomon Islands dollar was returned to its previous level.",
"",Comment on 2013-06: Only middle rates have been available since July 2013; see BBEX2:M:SBD:EUR:CA:AC:A01.,
