"",BBK01.OEYB15G,BBK01.OEYB15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:27,
2002-01,1.013,
2002-04,1.023,
2002-07,1.010,
2002-10,1.012,
2003-01,1.011,
2003-04,1.026,
2003-07,1.053,
2003-10,1.029,
2004-01,1.015,
2004-04,0.998,
2004-07,0.972,
2004-10,0.949,
2005-01,0.941,
2005-04,0.923,
2005-07,1.387,
2005-10,1.316,
2006-01,1.257,
2006-04,1.216,
2006-07,1.192,
2006-10,1.183,
2007-01,1.150,
2007-04,1.122,
2007-07,1.115,
2007-10,1.093,
2008-01,1.050,
2008-04,1.020,
2008-07,0.950,
2008-10,0.861,
2009-01,0.826,
2009-04,0.824,
2009-07,0.839,
2009-10,0.836,
2010-01,0.840,
2010-04,0.803,
2010-07,0.797,
2010-10,0.792,
2011-01,0.896,
2011-04,0.913,
2011-07,0.902,
2011-10,0.897,
2012-01,0.889,
2012-04,0.873,
2012-07,0.816,
2012-10,0.818,
2013-01,0.766,
2013-04,0.743,
2013-07,0.736,
2013-10,0.691,
2014-01,0.658,
2014-04,0.639,
2014-07,0.645,
