"",BBK01.OEAH91S,BBK01.OEAH91S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:37,
2002-01,0.437,
2002-04,0.437,
2002-07,0.437,
2002-10,0.437,
2003-01,0.477,
2003-04,0.475,
2003-07,0.474,
2003-10,0.638,
2004-01,0.629,
2004-04,0.629,
2004-07,0.626,
2004-10,0.685,
2005-01,0.760,
2005-04,0.733,
2005-07,0.756,
2005-10,0.813,
2006-01,0.829,
2006-04,0.886,
2006-07,0.837,
2006-10,1.078,
2007-01,1.024,
2007-04,1.044,
2007-07,1.165,
2007-10,1.425,
2008-01,1.399,
2008-04,1.372,
2008-07,1.406,
2008-10,1.416,
2009-01,1.494,
2009-04,0.238,
2009-07,0.237,
2009-10,0.286,
2010-01,0.288,
2010-04,0.287,
2010-07,0.237,
2010-10,0.162,
2011-01,0.136,
2011-04,0.177,
2011-07,0.178,
2011-10,0.154,
2012-01,0.154,
2012-04,0.129,
2012-07,0.129,
2012-10,0.046,
2013-01,0.047,
2013-04,0.047,
2013-07,0.047,
2013-10,0.112,
2014-01,0.112,
2014-04,0.111,
2014-07,0.111,
