"",BBK01.OECB14L,BBK01.OECB14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:29,
2002-01,0.972,
2002-04,0.938,
2002-07,0.884,
2002-10,0.744,
2003-01,0.673,
2003-04,0.641,
2003-07,0.609,
2003-10,0.596,
2004-01,0.576,
2004-04,0.531,
2004-07,0.540,
2004-10,0.713,
2005-01,0.513,
2005-04,0.510,
2005-07,0.607,
2005-10,0.661,
2006-01,0.478,
2006-04,0.496,
2006-07,0.493,
2006-10,0.437,
2007-01,0.429,
2007-04,0.414,
2007-07,0.389,
2007-10,0.412,
2008-01,0.408,
2008-04,0.401,
2008-07,0.377,
2008-10,0.393,
2009-01,0.370,
2009-04,0.366,
2009-07,0.400,
2009-10,0.418,
2010-01,0.420,
2010-04,0.468,
2010-07,0.533,
2010-10,0.514,
2011-01,0.455,
2011-04,0.420,
2011-07,0.407,
2011-10,0.446,
2012-01,0.431,
2012-04,0.448,
2012-07,0.419,
2012-10,0.462,
2013-01,0.430,
2013-04,0.408,
2013-07,0.392,
2013-10,0.369,
2014-01,0.379,
2014-04,0.369,
2014-07,0.366,
