"",BBK01.OEAC37I,BBK01.OEAC37I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:37,
2002-01,0.152,
2002-04,0.140,
2002-07,0.159,
2002-10,0.148,
2003-01,0.126,
2003-04,0.107,
2003-07,0.133,
2003-10,0.134,
2004-01,0.153,
2004-04,0.148,
2004-07,0.133,
2004-10,0.120,
2005-01,0.138,
2005-04,0.141,
2005-07,0.139,
2005-10,0.127,
2006-01,0.121,
2006-04,0.140,
2006-07,0.138,
2006-10,0.132,
2007-01,0.126,
2007-04,0.132,
2007-07,0.139,
2007-10,0.115,
2008-01,0.112,
2008-04,0.128,
2008-07,0.136,
2008-10,0.139,
2009-01,0.148,
2009-04,0.176,
2009-07,0.174,
2009-10,0.172,
2010-01,0.194,
2010-04,0.179,
2010-07,0.190,
2010-10,0.200,
2011-01,0.208,
2011-04,0.185,
2011-07,0.184,
2011-10,0.180,
2012-01,0.176,
2012-04,0.180,
2012-07,0.162,
2012-10,0.153,
2013-01,0.167,
2013-04,0.165,
2013-07,0.171,
2013-10,0.152,
2014-01,0.159,
2014-04,0.165,
2014-07,0.161,
