"",BBK01.OELB22P,BBK01.OELB22P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:52,
2002-01,0.069,
2002-04,0.090,
2002-07,0.077,
2002-10,0.049,
2003-01,0.044,
2003-04,0.048,
2003-07,0.044,
2003-10,0.053,
2004-01,0.053,
2004-04,0.058,
2004-07,0.059,
2004-10,0.057,
2005-01,0.052,
2005-04,0.073,
2005-07,0.069,
2005-10,0.073,
2006-01,0.084,
2006-04,0.090,
2006-07,0.067,
2006-10,0.080,
2007-01,0.080,
2007-04,0.061,
2007-07,0.067,
2007-10,0.067,
2008-01,0.063,
2008-04,0.061,
2008-07,0.067,
2008-10,0.060,
2009-01,0.067,
2009-04,0.069,
2009-07,0.071,
2009-10,0.069,
2010-01,0.073,
2010-04,0.070,
2010-07,0.078,
2010-10,0.059,
2011-01,0.029,
2011-04,0.040,
2011-07,0.039,
2011-10,0.023,
2012-01,0.019,
2012-04,0.023,
2012-07,0.017,
2012-10,0.020,
2013-01,0.025,
2013-04,0.019,
2013-07,0.015,
2013-10,0.016,
2014-01,0.016,
2014-04,0.012,
2014-07,0.012,
