"",BBK01.OEAE03J,BBK01.OEAE03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:33,
2002-01,0.278,
2002-04,0.267,
2002-07,0.290,
2002-10,0.286,
2003-01,0.282,
2003-04,0.274,
2003-07,0.267,
2003-10,0.279,
2004-01,0.281,
2004-04,0.279,
2004-07,0.284,
2004-10,0.332,
2005-01,0.341,
2005-04,0.462,
2005-07,0.457,
2005-10,0.466,
2006-01,0.543,
2006-04,0.551,
2006-07,0.536,
2006-10,0.502,
2007-01,0.523,
2007-04,0.525,
2007-07,0.501,
2007-10,0.532,
2008-01,0.547,
2008-04,0.559,
2008-07,0.550,
2008-10,0.503,
2009-01,0.529,
2009-04,0.553,
2009-07,0.518,
2009-10,0.511,
2010-01,0.382,
2010-04,0.475,
2010-07,0.454,
2010-10,0.476,
2011-01,0.513,
2011-04,0.500,
2011-07,0.402,
2011-10,0.419,
2012-01,0.468,
2012-04,0.650,
2012-07,0.608,
2012-10,0.455,
2013-01,0.473,
2013-04,0.491,
2013-07,0.480,
2013-10,0.519,
2014-01,0.610,
2014-04,0.607,
2014-07,0.533,
