"",BBK01.TUD420,BBK01.TUD420_FLAGS
"",Lending to non-banks (non-MFIs) in the euro area / in other member states /  Enterprises and households / of which: Loans / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:06,
1979-12,4344,
1980-01,4275,
1980-02,4325,
1980-03,4583,
1980-04,4667,
1980-05,4645,
1980-06,4616,
1980-07,4559,
1980-08,4653,
1980-09,4651,
1980-10,4876,
1980-11,5080,
1980-12,5014,
1981-01,5038,
1981-02,5041,
1981-03,5173,
1981-04,5085,
1981-05,5316,
1981-06,5307,
1981-07,5399,
1981-08,5452,
1981-09,5331,
1981-10,5465,
1981-11,5623,
1981-12,5764,
1982-01,5584,
1982-02,5680,
1982-03,5678,
1982-04,5570,
1982-05,5628,
1982-06,5659,
1982-07,5635,
1982-08,5671,
1982-09,5750,
1982-10,5784,
1982-11,5873,
1982-12,5924,
1983-01,5750,
1983-02,5702,
1983-03,5594,
1983-04,5616,
1983-05,5692,
1983-06,5898,
1983-07,5782,
1983-08,5759,
1983-09,5885,
1983-10,5928,
1983-11,6062,
1983-12,6239,
1984-01,6126,
1984-02,6159,
1984-03,6149,
1984-04,6094,
1984-05,6195,
1984-06,6237,
1984-07,6218,
1984-08,6238,
1984-09,6615,
1984-10,6732,
1984-11,6906,
1984-12,7287,
1985-01,7194,
1985-02,7571,
1985-03,7389,
1985-04,7327,
1985-05,7279,
1985-06,7648,
1985-07,7445,
1985-08,7495,
1985-09,7518,
1985-10,7664,
1985-11,7828,
1985-12,8478,
1986-01,8387,
1986-02,8729,
1986-03,8848,
1986-04,8814,
1986-05,9076,
1986-06,9231,
1986-07,9073,
1986-08,9421,
1986-09,9937,
1986-10,9899,
1986-11,10396,
1986-12,10529,
1987-01,10459,
1987-02,10612,
1987-03,10939,
1987-04,11001,
1987-05,11300,
1987-06,11592,
1987-07,11437,
1987-08,11467,
1987-09,11481,
1987-10,11400,
1987-11,11266,
1987-12,11193,
1988-01,11094,
1988-02,11226,
1988-03,11124,
1988-04,10976,
1988-05,11134,
1988-06,11638,
1988-07,11831,
1988-08,12098,
1988-09,12375,
1988-10,12358,
1988-11,12419,
1988-12,12408,
1989-01,12102,
1989-02,11959,
1989-03,12169,
1989-04,12404,
1989-05,12990,
1989-06,13351,
1989-07,13330,
1989-08,13598,
1989-09,13771,
1989-10,13879,
1989-11,14790,
1989-12,15053,
1990-01,14960,
1990-02,15200,
1990-03,15159,
1990-04,15298,
1990-05,15515,
1990-06,16612,
1990-07,16762,
1990-08,16799,
1990-09,17166,
1990-10,16823,
1990-11,17261,
1990-12,17736,
1991-01,17462,
1991-02,18129,
1991-03,18183,
1991-04,17575,
1991-05,17370,
1991-06,17774,
1991-07,17225,
1991-08,17392,
1991-09,17325,
1991-10,17466,
1991-11,17906,
1991-12,17982,
1992-01,17924,
1992-02,17830,
1992-03,17854,
1992-04,17749,
1992-05,17547,
1992-06,17099,
1992-07,17062,
1992-08,17131,
1992-09,17153,
1992-10,17985,
1992-11,18318,
1992-12,17922,
1993-01,17634,
1993-02,18354,
1993-03,18806,
1993-04,18823,
1993-05,19089,
1993-06,20372,
1993-07,20419,
1993-08,19266,
1993-09,19957,
1993-10,20237,
1993-11,21049,
1993-12,22760,
1994-01,23074,
1994-02,22448,
1994-03,22344,
1994-04,22499,
1994-05,21766,
1994-06,21755,
1994-07,21360,
1994-08,21201,
1994-09,21534,
1994-10,20867,
1994-11,20896,
1994-12,20243,
1995-01,20087,
1995-02,20085,
1995-03,19693,
1995-04,19589,
1995-05,20210,
1995-06,19972,
1995-07,19776,
1995-08,20374,
1995-09,20141,
1995-10,19670,
1995-11,19664,
1995-12,20057,
1996-01,20035,
1996-02,19901,
1996-03,18516,
1996-04,18936,
1996-05,19059,
1996-06,19256,
1996-07,18413,
1996-08,17956,
1996-09,17663,
1996-10,17610,
1996-11,17850,
1996-12,18799,
1997-01,18596,
1997-02,19231,
1997-03,19586,
1997-04,20033,
1997-05,21142,
1997-06,21362,
1997-07,20253,
1997-08,20416,
1997-09,20240,
1997-10,20385,
1997-11,20603,
1997-12,21076,
1998-01,22026,
1998-02,23116,
1998-03,23583,
1998-04,22650,
1998-05,23088,
1998-06,23043,
1998-07,23473,
1998-08,24624,
1998-09,26192,
1998-10,26202,
1998-11,26837,
1998-12,28612,
1999-01,30478,
1999-02,29087,
1999-03,32320,
1999-04,30665,
1999-05,31787,
1999-06,32858,
1999-07,34015,
1999-08,33152,
1999-09,33194,
1999-10,35348,
1999-11,35880,
1999-12,35860,
2000-01,37701,
2000-02,37784,
2000-03,38455,
2000-04,38889,
2000-05,38147,
2000-06,37357,
2000-07,39091,
2000-08,40776,
2000-09,42288,
2000-10,42531,
2000-11,44355,
2000-12,44159,
2001-01,46237,
2001-02,46526,
2001-03,48950,
2001-04,48297,
2001-05,48413,
2001-06,50796,
2001-07,49710,
2001-08,49178,
2001-09,51077,
2001-10,51689,
2001-11,52411,
2001-12,53674,
2002-01,54749,
2002-02,56071,
2002-03,60067,
2002-04,61462,
2002-05,62559,
2002-06,61533,
2002-07,59762,
2002-08,58259,
2002-09,59299,
2002-10,59124,
2002-11,61036,
2002-12,63613,
2003-01,60532,
2003-02,64600,
2003-03,64522,
2003-04,66233,
2003-05,66736,
2003-06,61933,
2003-07,62274,
2003-08,64952,
2003-09,64713,
2003-10,60559,
2003-11,64655,
2003-12,62714,
2004-01,61235,
2004-02,65229,
2004-03,66981,
2004-04,68813,
2004-05,66337,
2004-06,66495,
2004-07,67735,
2004-08,65018,
2004-09,65289,
2004-10,65051,
2004-11,67497,
2004-12,61915,
2005-01,66333,
2005-02,66570,
2005-03,61419,
2005-04,65521,
2005-05,65953,
2005-06,68426,
2005-07,64186,
2005-08,62923,
2005-09,65472,
2005-10,67042,
2005-11,67715,
2005-12,64950,
2006-01,69944,
2006-02,73644,
2006-03,76204,
2006-04,84057,
2006-05,81484,
2006-06,82155,
2006-07,80915,
2006-08,81573,
2006-09,86956,
2006-10,89184,
2006-11,88842,
2006-12,85226,
2007-01,90531,
2007-02,93418,
2007-03,96011,
2007-04,96400,
2007-05,98980,
2007-06,103124,
2007-07,100041,
2007-08,111961,
2007-09,116397,
2007-10,121432,
2007-11,122185,
2007-12,124934,
2008-01,141198,
2008-02,135734,
2008-03,140261,
2008-04,143210,
2008-05,146451,
2008-06,158266,
2008-07,161948,
2008-08,167706,
2008-09,175939,
2008-10,182515,
2008-11,186614,
2008-12,172125,
2009-01,181981,
2009-02,175835,
2009-03,172454,
2009-04,171890,
2009-05,172065,
2009-06,178178,
2009-07,173508,
2009-08,170407,
2009-09,172611,
2009-10,166545,
2009-11,165068,
2009-12,162944,
2010-01,161860,
2010-02,162903,
2010-03,162689,
2010-04,175707,
2010-05,175018,
2010-06,172836,
2010-07,173216,
2010-08,173435,
2010-09,166449,
2010-10,162582,
2010-11,167795,
2010-12,164174,
2011-01,159808,
2011-02,158209,
2011-03,157218,
2011-04,165132,
2011-05,161441,
2011-06,161171,
2011-07,161649,
2011-08,162582,
2011-09,171158,
2011-10,164035,
2011-11,165078,
2011-12,161227,
2012-01,157637,
2012-02,158082,
2012-03,159916,
2012-04,163247,
2012-05,160697,
2012-06,160327,
2012-07,162086,
2012-08,160984,
2012-09,161434,
2012-10,159960,
2012-11,160265,
2012-12,158081,
2013-01,157000,
2013-02,156969,
2013-03,157577,
2013-04,158711,
2013-05,155790,
2013-06,152260,
2013-07,151018,
2013-08,149789,
2013-09,147483,
2013-10,145457,
2013-11,146374,
2013-12,144598,
2014-01,146940,
2014-02,145795,
2014-03,145242,
2014-04,148134,
2014-05,148780,
2014-06,147778,
2014-07,148789,
2014-08,147777,
2014-09,145944,
2014-10,149274,
2014-11,147874,
2014-12,142723,
2015-01,147130,
