"",BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:55,
1991-01,-4.249,
1991-04,-11.713,
1991-07,-18.579,
1991-10,-7.972,
1992-01,22.618,
1992-04,7.900,
1992-07,-0.659,
1992-10,393.667,
1993-01,-46.334,
1993-04,85.394,
1993-07,3.200,
1993-10,167.782,
1994-01,33.591,
1994-04,26.999,
1994-07,2.554,
1994-10,1.618,
1995-01,-1.211,
1995-04,-0.382,
1995-07,-5.910,
1995-10,12.420,
1996-01,9.966,
1996-04,14.851,
1996-07,7.508,
1996-10,4.654,
1997-01,-24.015,
1997-04,11.779,
1997-07,3.983,
1997-10,-0.315,
1998-01,-0.063,
1998-04,-1.161,
1998-07,5.902,
1998-10,9.547,
1999-01,104.737,
1999-04,-9.669,
1999-07,10.482,
1999-10,0.774,
2000-01,6.621,
2000-04,4.058,
2000-07,6.065,
2000-10,5.455,
2001-01,22.118,
2001-04,6.541,
2001-07,5.397,
2001-10,25.326,
2002-01,20.055,
2002-04,25.398,
2002-07,5.763,
2002-10,9.247,
2003-01,-2.876,
2003-04,22.142,
2003-07,3.419,
2003-10,16.307,
2004-01,-2.743,
2004-04,17.130,
2004-07,5.732,
2004-10,-2.643,
2005-01,24.762,
2005-04,-1.049,
2005-07,2.722,
2005-10,36.052,
2006-01,31.085,
2006-04,-38.179,
2006-07,19.396,
2006-10,0.837,
2007-01,22.359,
2007-04,6.215,
2007-07,4.902,
2007-10,-5.648,
2008-01,13.293,
2008-04,-69.568,
2008-07,-76.020,
2008-10,-216.897,
2009-01,-5.098,
2009-04,-104.514,
2009-07,-27.316,
2009-10,-6.911,
2010-01,68.167,
2010-04,-242.190,
2010-07,26.583,
2010-10,46.678,
2011-01,124.896,
2011-04,12.305,
2011-07,48.439,
2011-10,-89.925,
2012-01,92.282,
2012-04,1.443,
2012-07,-61.283,
2012-10,-96.415,
2013-01,137.344,
2013-04,113.331,
2013-07,102.074,
2013-10,-156.698,
2014-01,163.623,Provisional value
2014-04,76.110,Provisional value
2014-07,19.831,Provisional value
2014-10,-32.019,Provisional value
