"",BBK01.OEHB08S,BBK01.OEHB08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:12,
2002-01,5.582,
2002-04,5.614,
2002-07,5.655,
2002-10,5.680,
2003-01,5.646,
2003-04,5.693,
2003-07,5.719,
2003-10,5.767,
2004-01,5.702,
2004-04,5.714,
2004-07,5.717,
2004-10,5.734,
2005-01,5.682,
2005-04,5.681,
2005-07,5.697,
2005-10,5.710,
2006-01,5.641,
2006-04,5.649,
2006-07,5.672,
2006-10,5.706,
2007-01,5.657,
2007-04,5.639,
2007-07,5.633,
2007-10,5.585,
2008-01,5.547,
2008-04,5.675,
2008-07,5.809,
2008-10,5.804,
2009-01,5.792,
2009-04,5.875,
2009-07,5.908,
2009-10,5.976,
2010-01,6.095,
2010-04,6.481,
2010-07,6.577,
2010-10,6.786,
2011-01,6.903,
2011-04,7.011,
2011-07,7.149,
2011-10,7.336,
2012-01,7.431,
2012-04,7.518,
2012-07,7.680,
2012-10,7.913,
2013-01,8.031,
2013-04,8.135,
2013-07,8.332,
2013-10,8.445,
2014-01,8.579,
2014-04,8.706,
2014-07,8.901,
