"",BBK01.DU7804,BBK01.DU7804_FLAGS
"","Pay rates, overall economy, all items excluding one-off payments, on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:12,
1991-01,52.5,
1991-02,52.6,
1991-03,53.4,
1991-04,54.4,
1991-05,54.7,
1991-06,55.5,
1991-07,74.0,
1991-08,56.5,
1991-09,56.6,
1991-10,56.8,
1991-11,95.1,
1991-12,56.9,
1992-01,57.3,
1992-02,57.4,
1992-03,57.5,
1992-04,59.9,
1992-05,61.7,
1992-06,61.8,
1992-07,83.0,
1992-08,62.1,
1992-09,62.1,
1992-10,62.3,
1992-11,105.8,
1992-12,62.6,
1993-01,63.2,
1993-02,63.4,
1993-03,63.5,
1993-04,64.2,
1993-05,64.8,
1993-06,65.3,
1993-07,88.0,
1993-08,65.7,
1993-09,65.7,
1993-10,65.8,
1993-11,112.6,
1993-12,65.9,
1994-01,65.7,
1994-02,65.8,
1994-03,65.8,
1994-04,66.1,
1994-05,66.3,
1994-06,66.6,
1994-07,89.1,
1994-08,67.2,
1994-09,67.3,
1994-10,67.5,
1994-11,114.3,
1994-12,67.6,
1995-01,67.9,
1995-02,67.9,
1995-03,68.2,
1995-04,68.6,
1995-05,69.8,
1995-06,69.9,
1995-07,93.6,
1995-08,70.3,
1995-09,70.3,
1995-10,70.5,
1995-11,120.0,
1995-12,70.9,
1996-01,70.9,
1996-02,71.0,
1996-03,71.0,
1996-04,71.2,
1996-05,71.3,
1996-06,71.4,
1996-07,95.9,
1996-08,71.6,
1996-09,71.6,
1996-10,71.8,
1996-11,121.8,
1996-12,71.8,
1997-01,72.1,
1997-02,72.1,
1997-03,72.3,
1997-04,72.5,
1997-05,72.5,
1997-06,72.5,
1997-07,97.4,
1997-08,72.9,
1997-09,72.9,
1997-10,73.0,
1997-11,122.9,
1997-12,73.1,
1998-01,73.5,
1998-02,73.5,
1998-03,73.5,
1998-04,73.9,
1998-05,74.0,
1998-06,74.1,
1998-07,99.3,
1998-08,74.3,
1998-09,74.4,
1998-10,74.4,
1998-11,124.8,
1998-12,74.5,
1999-01,74.7,
1999-02,74.7,
1999-03,75.0,
1999-04,75.7,
1999-05,75.8,
1999-06,76.2,
1999-07,101.9,
1999-08,76.6,
1999-09,76.6,
1999-10,76.6,
1999-11,127.2,
1999-12,76.7,
2000-01,76.8,
2000-02,76.8,
2000-03,76.8,
2000-04,77.2,
2000-05,77.8,
2000-06,77.8,
2000-07,103.5,
2000-08,78.3,
2000-09,78.4,
2000-10,78.4,
2000-11,129.5,
2000-12,78.5,
2001-01,78.8,
2001-02,78.8,
2001-03,78.9,
2001-04,79.1,
2001-05,79.8,
2001-06,79.6,
2001-07,105.7,
2001-08,79.8,
2001-09,80.2,
2001-10,80.2,
2001-11,132.0,
2001-12,80.2,
2002-01,80.6,
2002-02,80.6,
2002-03,80.6,
2002-04,80.7,
2002-05,81.2,
2002-06,81.4,
2002-07,107.7,
2002-08,81.7,
2002-09,82.0,
2002-10,82.1,
2002-11,135.0,
2002-12,82.3,
2003-01,82.5,
2003-02,82.6,
2003-03,82.6,
2003-04,82.9,
2003-05,83.3,
2003-06,83.5,
2003-07,110.3,
2003-08,83.6,
2003-09,83.4,
2003-10,83.5,
2003-11,135.5,
2003-12,83.7,
2004-01,83.7,
2004-02,83.7,
2004-03,83.8,
2004-04,84.3,
2004-05,84.3,
2004-06,84.1,
2004-07,110.1,
2004-08,84.5,
2004-09,84.6,
2004-10,84.6,
2004-11,133.5,
2004-12,84.9,
2005-01,84.7,
2005-02,84.7,
2005-03,84.9,
2005-04,85.4,
