"",BBDA1.M.DE.N.EX.S.A.CH.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.CH.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Switzerland / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:35,
1990-07,1641153,
1990-08,1506337,
1990-09,1592906,
1990-10,1815884,
1990-11,1675015,
1990-12,1376012,
1991-01,1607964,
1991-02,1517551,
1991-03,1902246,
1991-04,1605357,
1991-05,1570571,
1991-06,1646347,
1991-07,1671957,
1991-08,1535779,
1991-09,1529839,
1991-10,1665273,
1991-11,1576897,
1991-12,1417231,
1992-01,1444259,
1992-02,1511657,
1992-03,1715138,
1992-04,1606973,
1992-05,1376533,
1992-06,1395845,
1992-07,1626601,
1992-08,1422093,
1992-09,1550560,
1992-10,1685642,
1992-11,1464472,
1992-12,1404589,
1993-01,1301974,
1993-02,1433187,
1993-03,1551728,
1993-04,1430676,
1993-05,1355431,
1993-06,1421742,
1993-07,1354910,
1993-08,1360221,
1993-09,1457548,
1993-10,1584496,
1993-11,1440737,
1993-12,1587231,
1994-01,1338505,
1994-02,1416001,
1994-03,1466414,
1994-04,1517260,
1994-05,1642950,
1994-06,1730140,
1994-07,1423359,
1994-08,1736055,
1994-09,1598647,
1994-10,1767737,
1994-11,1667708,
1994-12,1646125,
1995-01,1557947,
1995-02,1712213,
1995-03,1882644,
1995-04,1668362,
1995-05,1775159,
1995-06,1668077,
1995-07,1634014,
1995-08,1569036,
1995-09,1717110,
1995-10,1697390,
1995-11,1745095,
1995-12,1661270,
1996-01,1470154,
1996-02,1709481,
1996-03,1714523,
1996-04,1597991,
1996-05,1627345,
1996-06,1594893,
1996-07,1733312,
1996-08,1388717,
1996-09,1648982,
1996-10,1759944,
1996-11,1726758,
1996-12,1350282,
1997-01,1463575,
1997-02,1594290,
1997-03,1613536,
1997-04,1865977,
1997-05,1509409,
1997-06,1816265,
1997-07,1770348,
1997-08,1482326,
1997-09,1811858,
1997-10,2053346,
1997-11,1754865,
1997-12,1637707,
1998-01,1605406,
1998-02,1748531,
1998-03,1955119,
1998-04,1759008,
1998-05,1772601,
1998-06,1794074,
1998-07,1929152,
1998-08,1623473,
1998-09,1753731,
1998-10,1928315,
1998-11,2194671,
1998-12,1760835,
1999-01,1516646,
1999-02,1770257,
1999-03,2197436,
1999-04,1851278,
1999-05,1704625,
1999-06,1994326,
1999-07,2058186,
1999-08,1613066,
1999-09,1944072,
1999-10,2004476,
1999-11,2151158,
1999-12,2002304,
2000-01,1723190,
2000-02,2015542,
2000-03,2319753,
2000-04,1850112,
2000-05,2125827,
2000-06,2058674,
2000-07,2193996,
2000-08,2129790,
2000-09,2211743,
2000-10,2520792,
2000-11,2291166,
2000-12,2155156,
2001-01,2098360,
2001-02,2252505,
2001-03,2634654,
2001-04,2179901,
2001-05,2485879,
2001-06,2378579,
2001-07,2334074,
2001-08,2247396,
2001-09,2066101,
2001-10,2387092,
2001-11,2294369,
2001-12,2130356,
2002-01,1940835,
2002-02,2191811,
2002-03,2427911,
2002-04,2277578,
2002-05,2064999,
2002-06,2301333,
2002-07,2182956,
2002-08,2181153,
2002-09,2259833,
2002-10,2471569,
2002-11,2354258,
2002-12,2048095,
2003-01,2200088,
2003-02,2243552,
2003-03,2083952,
2003-04,2089699,
2003-05,2258999,
2003-06,2314957,
2003-07,2329140,
2003-08,1941027,
2003-09,2162828,
2003-10,2096999,
2003-11,2122133,
2003-12,2165516,
2004-01,2081622,
2004-02,2185558,
2004-03,2464471,
2004-04,2438967,
2004-05,2329931,
2004-06,2371896,
2004-07,2457007,
2004-08,2007654,
2004-09,2313608,
2004-10,2423059,
2004-11,2425220,
2004-12,2418059,
2005-01,2342539,
2005-02,2357223,
2005-03,2625720,
2005-04,2368074,
2005-05,2376324,
2005-06,2592709,
2005-07,2394123,
2005-08,2363358,
2005-09,2645111,
2005-10,2486778,
2005-11,2443160,
2005-12,2633780,
2006-01,2483905,
2006-02,2758460,
2006-03,2843713,
2006-04,2676967,
2006-05,2568339,
2006-06,2688132,
2006-07,2874342,
2006-08,2663463,
2006-09,3123293,
2006-10,3459409,
2006-11,3667786,
2006-12,2974549,
2007-01,3012749,
2007-02,2896423,
2007-03,3110271,
2007-04,2941498,
2007-05,2983717,
2007-06,2906514,
2007-07,2994548,
2007-08,3116880,
2007-09,2971230,
2007-10,3278838,
2007-11,3415195,
2007-12,2745263,
2008-01,3252249,
2008-02,3186095,
2008-03,3241083,
2008-04,3475715,
2008-05,3111486,
2008-06,3325783,
2008-07,3280507,
2008-08,2915205,
2008-09,3441489,
2008-10,3698171,
2008-11,3186720,
2008-12,2912261,
2009-01,2838797,
2009-02,2926212,
2009-03,3210006,
2009-04,2770450,
2009-05,2643414,
2009-06,2836887,
2009-07,3232655,
2009-08,2714404,
2009-09,2917462,
2009-10,3067765,
2009-11,3541483,
2009-12,2810819,
2010-01,2846560,
2010-02,3116980,
2010-03,3820016,
2010-04,3386165,
2010-05,3176349,
2010-06,3609936,
2010-07,3442752,
2010-08,3358963,
2010-09,3739834,
2010-10,3818608,
2010-11,3916352,
2010-12,3426817,
2011-01,3569900,
2011-02,3676152,
2011-03,4427902,
2011-04,3595585,
2011-05,4114583,
2011-06,3707775,
2011-07,3861978,
2011-08,4310421,
2011-09,4502891,
2011-10,3978525,
2011-11,4359680,
2011-12,3769791,
2012-01,3991002,
2012-02,4079351,
2012-03,4579906,
2012-04,3971022,
2012-05,4087391,
2012-06,4208638,
2012-07,4041630,
2012-08,3978045,
2012-09,3994563,
2012-10,4362092,
2012-11,4277755,
2012-12,3361886,
2013-01,4045261,
2013-02,3809056,
2013-03,4243350,
2013-04,4128166,
2013-05,3710772,
2013-06,3848214,
2013-07,4070611,
2013-08,3686574,
2013-09,3842395,
2013-10,4175114,
2013-11,4139427,
2013-12,3225159,
2014-01,3843646,
2014-02,3768832,
