"",BBFN1.M.DE.N.1.A.IE.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IE.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2011-02,7.892,
2011-03,7.893,
2011-04,7.805,
2011-05,7.896,
2011-06,7.845,
2011-07,7.835,
2011-08,7.820,
2011-09,7.727,
2011-10,7.703,
2011-11,7.704,
2011-12,7.760,
2012-01,7.708,
2012-02,7.707,
2012-03,7.697,
2012-04,7.725,
2012-05,7.732,
2012-06,7.734,
2012-07,7.730,
2012-08,7.691,
2012-09,7.759,
2012-10,7.761,
2012-11,7.764,
2012-12,7.749,
2013-01,7.753,
2013-02,7.734,
2013-03,7.710,
2013-04,7.728,
2013-05,7.739,
2013-06,7.741,
2013-07,7.650,
2013-08,7.772,
2013-09,7.785,
2013-10,7.786,
2013-11,7.782,
2013-12,7.885,
2014-01,7.591,
2014-02,7.604,
2014-03,7.648,
2014-04,7.604,
2014-05,7.832,
2014-06,7.802,
2014-07,7.754,
2014-08,7.757,
2014-09,7.762,
2014-10,7.706,
2014-11,7.635,
2014-12,7.559,
