"",BBFB1.M.Y.DE.W1.S1.S1.T.D.D4P._T.F._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.D4P._T.F._Z._T._X.N_FLAGS
"",Balance of payments / Primary income: Investment income / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:19,
1991-01,3.53,
1991-02,3.47,
1991-03,3.53,
1991-04,3.72,
1991-05,3.78,
1991-06,5.00,
1991-07,4.15,
1991-08,3.80,
1991-09,3.81,
1991-10,3.97,
1991-11,3.90,
1991-12,4.34,
1992-01,3.73,
1992-02,3.66,
1992-03,3.95,
1992-04,3.85,
1992-05,3.90,
1992-06,4.34,
1992-07,4.08,
1992-08,4.05,
1992-09,4.18,
1992-10,4.09,
1992-11,4.26,
1992-12,4.01,
1993-01,4.42,
1993-02,4.54,
1993-03,4.43,
1993-04,4.68,
1993-05,4.40,
1993-06,4.24,
1993-07,4.25,
1993-08,4.44,
1993-09,4.51,
1993-10,4.46,
1993-11,4.49,
1993-12,4.35,
1994-01,4.81,
1994-02,4.65,
1994-03,4.74,
1994-04,4.65,
1994-05,4.95,
1994-06,4.37,
1994-07,4.82,
1994-08,4.79,
1994-09,4.90,
1994-10,4.68,
1994-11,5.35,
1994-12,5.30,
1995-01,5.17,
1995-02,5.08,
1995-03,5.26,
1995-04,4.99,
1995-05,4.97,
1995-06,5.07,
1995-07,5.22,
1995-08,5.31,
1995-09,5.15,
1995-10,5.36,
1995-11,5.52,
1995-12,5.30,
1996-01,4.81,
1996-02,4.95,
1996-03,4.54,
1996-04,5.13,
1996-05,4.93,
1996-06,5.07,
1996-07,6.67,
1996-08,5.44,
1996-09,6.10,
1996-10,5.40,
1996-11,5.60,
1996-12,5.37,
1997-01,6.05,
1997-02,6.10,
1997-03,5.92,
1997-04,5.91,
1997-05,6.53,
1997-06,6.56,
1997-07,6.36,
1997-08,5.91,
1997-09,6.14,
1997-10,6.89,
1997-11,6.60,
1997-12,6.53,
1998-01,6.26,
1998-02,6.37,
1998-03,6.73,
1998-04,6.79,
1998-05,6.77,
1998-06,8.37,
1998-07,7.86,
1998-08,6.80,
1998-09,6.96,
1998-10,7.01,
1998-11,6.76,
1998-12,8.38,
1999-01,7.40,
1999-02,8.14,
1999-03,7.47,
1999-04,7.43,
1999-05,8.51,
1999-06,7.92,
1999-07,7.92,
1999-08,8.03,
1999-09,8.51,
1999-10,8.62,
1999-11,8.61,
1999-12,10.45,
2000-01,8.46,
2000-02,9.41,
2000-03,9.59,
2000-04,9.98,
2000-05,9.60,
2000-06,10.31,
2000-07,10.60,
2000-08,11.15,
2000-09,10.90,
2000-10,10.66,
2000-11,11.15,
2000-12,11.90,
2001-01,10.15,
2001-02,10.15,
2001-03,9.82,
2001-04,9.78,
2001-05,9.46,
2001-06,9.11,
2001-07,9.17,
2001-08,9.12,
2001-09,8.95,
2001-10,9.17,
2001-11,9.05,
2001-12,8.83,
2002-01,10.63,
2002-02,10.13,
2002-03,10.30,
2002-04,9.48,
2002-05,10.18,
2002-06,10.16,
2002-07,10.33,
2002-08,10.38,
2002-09,10.44,
2002-10,10.51,
2002-11,10.48,
2002-12,10.18,
2003-01,10.47,
2003-02,9.93,
2003-03,9.79,
2003-04,10.19,
2003-05,9.47,
2003-06,10.12,
2003-07,10.06,
2003-08,10.15,
2003-09,10.21,
2003-10,10.01,
2003-11,10.17,
2003-12,10.34,
2004-01,10.00,
2004-02,9.66,
2004-03,9.72,
2004-04,9.72,
2004-05,8.13,
