"",BBK01.OEAF12S,BBK01.OEAF12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:53,
2002-01,0.386,
2002-04,0.402,
2002-07,0.421,
2002-10,0.408,
2003-01,0.411,
2003-04,0.421,
2003-07,0.432,
2003-10,0.420,
2004-01,0.384,
2004-04,0.396,
2004-07,0.405,
2004-10,0.395,
2005-01,0.398,
2005-04,0.419,
2005-07,0.435,
2005-10,0.412,
2006-01,0.403,
2006-04,0.409,
2006-07,0.413,
2006-10,0.394,
2007-01,0.388,
2007-04,0.389,
2007-07,0.363,
2007-10,0.354,
2008-01,0.337,
2008-04,0.347,
2008-07,0.355,
2008-10,0.340,
2009-01,0.328,
2009-04,0.331,
2009-07,0.348,
2009-10,0.337,
2010-01,0.336,
2010-04,0.337,
2010-07,0.413,
2010-10,0.318,
2011-01,0.323,
2011-04,0.325,
2011-07,0.331,
2011-10,0.318,
2012-01,0.312,
2012-04,0.303,
2012-07,0.256,
2012-10,0.250,
2013-01,0.247,
2013-04,0.242,
2013-07,0.260,
2013-10,0.247,
2014-01,0.244,
2014-04,0.246,
2014-07,0.246,
