"",BBK01.OELO03N,BBK01.OELO03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:25,
2002-01,5.468,
2002-04,3.774,
2002-07,3.589,
2002-10,3.692,
2003-01,4.120,
2003-04,3.582,
2003-07,3.492,
2003-10,3.965,
2004-01,4.457,
2004-04,3.461,
2004-07,3.516,
2004-10,3.888,
2005-01,4.283,
2005-04,3.506,
2005-07,3.386,
2005-10,3.718,
2006-01,4.582,
2006-04,3.726,
2006-07,3.931,
2006-10,4.609,
2007-01,5.491,
2007-04,4.492,
2007-07,4.534,
2007-10,4.666,
2008-01,4.877,
2008-04,4.175,
2008-07,4.300,
2008-10,4.332,
2009-01,3.572,
2009-04,3.119,
2009-07,3.460,
2009-10,3.489,
2010-01,3.453,
2010-04,2.774,
2010-07,2.781,
2010-10,3.661,
2011-01,3.691,
2011-04,3.563,
2011-07,3.818,
2011-10,3.821,
2012-01,3.791,
2012-04,3.616,
2012-07,3.615,
2012-10,3.922,
2013-01,3.855,
2013-04,3.638,
2013-07,3.190,
2013-10,3.428,
2014-01,3.389,
2014-04,3.222,
2014-07,2.946,
