"",BBK01.OELO02T,BBK01.OELO02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:51,
2002-01,0.143,
2002-04,0.156,
2002-07,0.187,
2002-10,0.182,
2003-01,0.174,
2003-04,0.138,
2003-07,0.165,
2003-10,0.186,
2004-01,0.200,
2004-04,0.139,
2004-07,0.148,
2004-10,0.181,
2005-01,0.180,
2005-04,0.151,
2005-07,0.144,
2005-10,0.154,
2006-01,0.204,
2006-04,0.158,
2006-07,0.157,
2006-10,0.164,
2007-01,0.205,
2007-04,0.151,
2007-07,0.168,
2007-10,0.138,
2008-01,0.187,
2008-04,0.135,
2008-07,0.161,
2008-10,0.197,
2009-01,0.171,
2009-04,0.157,
2009-07,0.160,
2009-10,0.175,
2010-01,0.170,
2010-04,0.129,
2010-07,0.129,
2010-10,0.137,
2011-01,0.145,
2011-04,0.132,
2011-07,0.131,
2011-10,0.147,
2012-01,0.146,
2012-04,0.117,
2012-07,0.128,
2012-10,0.145,
2013-01,0.151,
2013-04,0.121,
2013-07,0.119,
2013-10,0.132,
2014-01,0.146,
2014-04,0.117,
2014-07,0.120,
