"",BBSF2.M.1.P.00000.TOT01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:55,
2009-09,18519,
2009-10,18363,
2009-11,18527,
2009-12,18703,
2010-01,18760,
2010-02,18772,
2010-03,19079,
2010-04,19187,
2010-05,19280,
2010-06,19600,
2010-07,19667,
2010-08,19647,
2010-09,19493,
2010-10,19362,
2010-11,20113,
2010-12,19401,
2011-01,19238,
2011-02,19239,
2011-03,18922,
2011-04,18455,
2011-05,18606,
2011-06,18641,
2011-07,18509,
2011-08,18204,
2011-09,18125,
2011-10,17788,
2011-11,17777,
2011-12,17493,
2012-01,17430,
2012-02,17380,
2012-03,17419,
2012-04,17906,
2012-05,17544,
2012-06,17433,
2012-07,16790,
2012-08,16626,
2012-09,16621,
2012-10,15963,
2012-11,15546,
2012-12,15654,
2013-01,15537,
2013-02,15312,
2013-03,14834,
2013-04,14468,
2013-05,14322,
2013-06,14109,
2013-07,13448,
2013-08,13182,
2013-09,13062,
2013-10,12905,
2013-11,12880,
2013-12,13291,
2014-01,12597,
2014-02,12198,
2014-03,12183,
2014-04,12114,
2014-05,12035,
2014-06,11698,
2014-07,11515,
2014-08,11237,
2014-09,11294,
2014-10,11124,
2014-11,11188,
