"",BBK01.OEAD34N,BBK01.OEAD34N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:36,
2002-01,0.721,
2002-04,0.692,
2002-07,0.641,
2002-10,0.627,
2003-01,0.615,
2003-04,0.580,
2003-07,0.558,
2003-10,0.525,
2004-01,0.500,
2004-04,0.481,
2004-07,0.485,
2004-10,0.478,
2005-01,0.474,
2005-04,0.465,
2005-07,0.458,
2005-10,0.523,
2006-01,0.547,
2006-04,0.528,
2006-07,0.421,
2006-10,0.419,
2007-01,0.430,
2007-04,0.425,
2007-07,0.408,
2007-10,0.427,
2008-01,0.425,
2008-04,0.435,
2008-07,0.462,
2008-10,0.451,
2009-01,0.470,
2009-04,0.505,
2009-07,0.494,
2009-10,0.478,
2010-01,0.470,
2010-04,0.471,
2010-07,0.489,
2010-10,0.474,
2011-01,0.495,
2011-04,0.471,
2011-07,0.443,
2011-10,0.453,
2012-01,0.449,
2012-04,0.468,
2012-07,0.470,
2012-10,0.475,
2013-01,0.470,
2013-04,0.463,
2013-07,0.456,
2013-10,0.464,
2014-01,0.462,
2014-04,0.444,
2014-07,0.444,
