"",BBK01.OEXB13S,BBK01.OEXB13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:04,
2002-01,0.418,
2002-04,0.420,
2002-07,0.428,
2002-10,0.436,
2003-01,0.437,
2003-04,0.449,
2003-07,0.461,
2003-10,0.455,
2004-01,0.461,
2004-04,0.443,
2004-07,0.443,
2004-10,0.448,
2005-01,0.457,
2005-04,0.460,
2005-07,0.458,
2005-10,0.432,
2006-01,0.438,
2006-04,0.441,
2006-07,0.446,
2006-10,0.452,
2007-01,0.452,
2007-04,0.465,
2007-07,0.477,
2007-10,0.520,
2008-01,0.494,
2008-04,0.499,
2008-07,0.504,
2008-10,0.514,
2009-01,0.517,
2009-04,0.523,
2009-07,0.526,
2009-10,0.538,
2010-01,0.540,
2010-04,0.545,
2010-07,0.550,
2010-10,0.548,
2011-01,0.547,
2011-04,0.553,
2011-07,0.557,
2011-10,0.566,
2012-01,0.575,
2012-04,0.585,
2012-07,0.591,
2012-10,0.594,
2013-01,0.598,
2013-04,0.599,
2013-07,0.596,
2013-10,0.598,
2014-01,0.602,
2014-04,0.593,
2014-07,0.596,
