"",BBFN1.M.DE.N.1.L.IE.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IE.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2001-11,1.524,
2001-12,1.594,
2002-01,1.617,
2002-02,1.608,
2002-03,1.476,
2002-04,1.269,
2002-05,1.180,
2002-06,1.129,
2002-07,1.103,
2002-08,1.128,
2002-09,1.019,
2002-10,0.999,
2002-11,0.868,
2002-12,0.783,
2003-01,0.852,
2003-02,0.843,
2003-03,0.794,
2003-04,0.728,
2003-05,0.755,
2003-06,0.723,
2003-07,0.810,
2003-08,0.849,
2003-09,0.875,
2003-10,0.703,
2003-11,0.696,
2003-12,0.767,
2004-01,0.784,
2004-02,0.801,
2004-03,0.782,
2004-04,0.772,
2004-05,0.857,
2004-06,0.927,
2004-07,0.911,
2004-08,1.057,
2004-09,1.454,
2004-10,1.265,
2004-11,1.106,
2004-12,1.106,
2005-01,0.633,
2005-02,0.587,
2005-03,0.610,
2005-04,0.562,
2005-05,0.564,
2005-06,0.225,
2005-07,0.269,
2005-08,0.242,
2005-09,0.307,
2005-10,0.216,
2005-11,0.303,
2005-12,0.186,
2006-01,0.228,
2006-02,0.221,
2006-03,0.230,
2006-04,0.249,
2006-05,0.236,
2006-06,0.226,
2006-07,0.404,
2006-08,0.433,
2006-09,0.432,
2006-10,0.385,
2006-11,0.393,
2006-12,0.302,
2007-01,0.314,
2007-02,1.055,
2007-03,1.040,
2007-04,0.209,
2007-05,0.263,
2007-06,0.180,
2007-07,0.160,
2007-08,0.192,
2007-09,0.300,
2007-10,0.222,
2007-11,0.258,
2007-12,0.320,
2008-01,0.281,
2008-02,0.221,
2008-03,0.294,
2008-04,0.336,
2008-05,0.343,
2008-06,0.356,
2008-07,0.231,
2008-08,0.233,
2008-09,0.338,
2008-10,0.402,
2008-11,0.403,
2008-12,0.514,
2009-01,0.427,
2009-02,0.275,
2009-03,0.274,
2009-04,0.185,
2009-05,0.188,
2009-06,0.218,
2009-07,0.139,
2009-08,0.153,
2009-09,0.146,
2009-10,0.122,
2009-11,0.158,
2009-12,0.144,
2010-01,0.124,
2010-02,0.072,
2010-03,0.125,
2010-04,0.102,
2010-05,0.103,
2010-06,0.188,
2010-07,0.174,
2010-08,0.201,
2010-09,0.229,
2010-10,0.213,
2010-11,0.160,
2010-12,0.230,
2011-01,0.182,
2011-02,0.141,
2011-03,0.163,
2011-04,0.175,
2011-05,0.200,
2011-06,0.287,
2011-07,0.278,
2011-08,0.464,
2011-09,0.446,
2011-10,0.413,
2011-11,0.366,
2011-12,0.339,
2012-01,0.357,
2012-02,0.335,
2012-03,0.351,
2012-04,0.367,
2012-05,0.493,
2012-06,0.344,
2012-07,0.341,
2012-08,0.332,
2012-09,0.329,
2012-10,0.330,
2012-11,0.351,
2012-12,0.288,
2013-01,0.300,
2013-02,0.340,
2013-03,0.345,
2013-04,0.316,
2013-05,1.338,
2013-06,1.776,
2013-07,1.401,
2013-08,2.434,
2013-09,0.436,
2013-10,0.434,
2013-11,0.429,
2013-12,0.556,
2014-01,0.414,
2014-02,0.472,
2014-03,0.473,
2014-04,0.409,
2014-05,0.796,
2014-06,0.501,
2014-07,0.534,
2014-08,0.752,
2014-09,0.510,
2014-10,0.512,
2014-11,0.522,
2014-12,0.491,
