"",BBFN1.M.DE.N.1.L.BG.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BG.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Bulgaria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:01,
1994-07,0.100,
1994-08,0.078,
1994-09,0.077,
1994-10,0.092,
1994-11,0.088,
1994-12,0.083,
1995-01,0.087,
1995-02,0.088,
1995-03,0.085,
1995-04,0.080,
1995-05,0.082,
1995-06,0.078,
1995-07,0.087,
1995-08,0.080,
1995-09,0.070,
1995-10,0.060,
1995-11,0.059,
1995-12,0.053,
1996-01,0.057,
1996-02,0.049,
1996-03,0.051,
1996-04,0.057,
1996-05,0.053,
1996-06,0.041,
1996-07,0.043,
1996-08,0.043,
1996-09,0.048,
1996-10,0.046,
1996-11,0.046,
1996-12,0.043,
1997-01,0.043,
1997-02,0.047,
1997-03,0.043,
1997-04,0.042,
1997-05,0.049,
1997-06,0.047,
1997-07,0.046,
1997-08,0.054,
1997-09,0.053,
1997-10,0.066,
1997-11,0.053,
1997-12,0.058,
1998-01,0.069,
1998-02,0.075,
1998-03,0.065,
1998-04,0.066,
1998-05,0.066,
1998-06,0.066,
1998-07,0.064,
1998-08,0.065,
1998-09,0.056,
1998-10,0.056,
1998-11,0.052,
1998-12,0.060,
1999-01,0.051,
1999-02,0.047,
1999-03,0.048,
1999-04,0.054,
1999-05,0.056,
1999-06,0.064,
1999-07,0.066,
1999-08,0.065,
1999-09,0.059,
1999-10,0.060,
1999-11,0.066,
1999-12,0.071,
2000-01,0.103,
2000-02,0.101,
2000-03,0.105,
2000-04,0.113,
2000-05,0.094,
2000-06,0.094,
2000-07,0.098,
2000-08,0.106,
2000-09,0.115,
2000-10,0.123,
2000-11,0.121,
2000-12,0.144,
2001-01,0.138,
2001-02,0.152,
2001-03,0.148,
2001-04,0.154,
2001-05,0.154,
2001-06,0.159,
2001-07,0.168,
2001-08,0.186,
2001-09,0.197,
2001-10,0.205,
2001-11,0.225,
2001-12,0.208,
2002-01,0.203,
2002-02,0.208,
2002-03,0.188,
2002-04,0.190,
2002-05,0.201,
2002-06,0.144,
2002-07,0.153,
2002-08,0.161,
2002-09,0.159,
2002-10,0.168,
2002-11,0.146,
2002-12,0.151,
2003-01,0.128,
2003-02,0.137,
2003-03,0.139,
2003-04,0.150,
2003-05,0.184,
2003-06,0.198,
2003-07,0.207,
2003-08,0.222,
2003-09,0.239,
2003-10,0.266,
2003-11,0.283,
2003-12,0.282,
2004-01,0.282,
2004-02,0.301,
2004-03,0.313,
2004-04,0.328,
2004-05,0.330,
2004-06,0.347,
2004-07,0.358,
2004-08,0.363,
2004-09,0.375,
2004-10,0.335,
2004-11,0.326,
2004-12,0.370,
2005-01,0.384,
2005-02,0.405,
2005-03,0.408,
2005-04,0.403,
2005-05,0.397,
2005-06,0.373,
2005-07,0.387,
2005-08,0.369,
2005-09,0.389,
2005-10,0.395,
2005-11,0.397,
2005-12,0.349,
2006-01,0.348,
2006-02,0.358,
2006-03,0.352,
2006-04,0.332,
2006-05,0.367,
2006-06,0.335,
2006-07,0.340,
2006-08,0.166,
2006-09,0.211,
2006-10,0.221,
2006-11,0.240,
2006-12,0.278,
2007-01,0.316,
2007-02,0.353,
2007-03,0.390,
2007-04,0.407,
2007-05,0.426,
2007-06,0.412,
2007-07,0.478,
2007-08,0.546,
2007-09,0.570,
2007-10,0.731,
2007-11,0.734,
2007-12,0.774,
2008-01,0.780,
2008-02,0.789,
2008-03,0.803,
2008-04,0.816,
2008-05,0.841,
2008-06,0.773,
2008-07,0.787,
2008-08,0.781,
2008-09,0.810,
2008-10,0.818,
2008-11,0.835,
2008-12,0.835,
2009-01,0.841,
2009-02,0.853,
2009-03,0.875,
2009-04,0.869,
2009-05,0.866,
2009-06,0.887,
2009-07,0.891,
2009-08,0.894,
2009-09,0.906,
2009-10,0.805,
2009-11,0.813,
2009-12,0.799,
2010-01,0.824,
2010-02,0.825,
2010-03,0.822,
2010-04,0.812,
2010-05,0.839,
2010-06,0.839,
2010-07,0.747,
2010-08,0.744,
2010-09,0.743,
2010-10,0.757,
2010-11,0.742,
2010-12,0.774,
2011-01,0.766,
2011-02,0.758,
2011-03,0.755,
2011-04,0.772,
2011-05,0.796,
2011-06,0.832,
2011-07,0.820,
2011-08,0.798,
2011-09,0.813,
2011-10,0.799,
2011-11,0.787,
2011-12,0.812,
2012-01,0.737,
2012-02,0.732,
2012-03,0.746,
2012-04,0.734,
2012-05,0.740,
2012-06,0.727,
2012-07,0.749,
2012-08,0.738,
2012-09,0.756,
2012-10,1.067,
2012-11,0.751,
2012-12,0.731,
2013-01,0.756,
2013-02,0.752,
2013-03,0.775,
2013-04,0.811,
2013-05,0.765,
2013-06,0.727,
2013-07,0.738,
2013-08,0.795,
2013-09,0.810,
2013-10,0.772,
2013-11,0.787,
2013-12,0.767,
2014-01,0.754,
2014-02,0.777,
2014-03,0.722,
2014-04,0.710,
2014-05,0.755,
2014-06,0.770,
2014-07,0.762,
2014-08,0.772,
2014-09,0.787,
2014-10,0.783,
2014-11,0.800,
2014-12,0.756,
