"",BBK01.OEHL01K,BBK01.OEHL01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:28,
2002-01,10.943,
2002-04,10.585,
2002-07,10.094,
2002-10,10.333,
2003-01,10.596,
2003-04,9.937,
2003-07,10.376,
2003-10,10.485,
2004-01,10.407,
2004-04,10.688,
2004-07,10.510,
2004-10,10.897,
2005-01,10.800,
2005-04,10.782,
2005-07,10.603,
2005-10,10.688,
2006-01,10.718,
2006-04,10.728,
2006-07,10.566,
2006-10,10.747,
2007-01,10.966,
2007-04,10.994,
2007-07,10.773,
2007-10,11.030,
2008-01,11.228,
2008-04,11.239,
2008-07,11.148,
2008-10,12.590,
2009-01,13.374,
2009-04,13.426,
2009-07,13.341,
2009-10,13.560,
2010-01,13.741,
2010-04,13.689,
2010-07,13.690,
2010-10,13.798,
2011-01,13.616,
2011-04,13.528,
2011-07,13.653,
2011-10,13.891,
2012-01,14.104,
2012-04,13.759,
2012-07,13.796,
2012-10,13.925,
2013-01,13.944,
2013-04,13.584,
2013-07,13.648,
2013-10,13.798,
2014-01,14.226,
2014-04,14.547,
2014-07,14.574,
