"",BBK01.OEAM04H,BBK01.OEAM04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:29,
2002-01,5.677,
2002-04,5.282,
2002-07,5.178,
2002-10,3.951,
2003-01,3.927,
2003-04,4.275,
2003-07,3.970,
2003-10,3.446,
2004-01,3.722,
2004-04,3.377,
2004-07,3.342,
2004-10,3.825,
2005-01,3.860,
2005-04,4.116,
2005-07,4.286,
2005-10,5.082,
2006-01,4.795,
2006-04,5.818,
2006-07,7.730,
2006-10,9.279,
2007-01,8.760,
2007-04,10.079,
2007-07,14.624,
2007-10,18.124,
2008-01,16.633,
2008-04,19.195,
2008-07,18.543,
2008-10,16.654,
2009-01,12.626,
2009-04,10.319,
2009-07,8.095,
2009-10,5.521,
2010-01,7.952,
2010-04,6.464,
2010-07,9.663,
2010-10,10.854,
2011-01,10.348,
2011-04,15.654,
2011-07,12.988,
2011-10,13.914,
2012-01,13.206,
2012-04,15.559,
2012-07,13.510,
2012-10,12.870,
2013-01,15.726,
2013-04,16.185,
2013-07,15.389,
2013-10,14.560,
2014-01,15.548,
2014-04,15.504,
2014-07,14.746,
