"",BBK01.OEAC58Q,BBK01.OEAC58Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:58,
2002-01,3.186,
2002-04,3.172,
2002-07,3.144,
2002-10,3.230,
2003-01,3.268,
2003-04,3.757,
2003-07,2.665,
2003-10,2.750,
2004-01,2.749,
2004-04,2.342,
2004-07,2.161,
2004-10,2.043,
2005-01,2.074,
2005-04,2.019,
2005-07,1.998,
2005-10,2.006,
2006-01,2.031,
2006-04,2.043,
2006-07,2.072,
2006-10,2.092,
2007-01,2.096,
2007-04,2.139,
2007-07,2.143,
2007-10,2.149,
2008-01,2.106,
2008-04,2.126,
2008-07,2.163,
2008-10,2.197,
2009-01,2.207,
2009-04,2.271,
2009-07,2.344,
2009-10,2.414,
2010-01,2.461,
2010-04,2.586,
2010-07,1.541,
2010-10,2.898,
2011-01,1.716,
2011-04,1.700,
2011-07,1.675,
2011-10,1.730,
2012-01,1.712,
2012-04,1.741,
2012-07,1.782,
2012-10,1.915,
2013-01,1.898,
2013-04,1.913,
2013-07,1.947,
2013-10,1.969,
2014-01,1.984,
2014-04,2.055,
2014-07,2.127,
