"",BBK01.OELB16P,BBK01.OELB16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:49,
2002-01,0.816,
2002-04,0.821,
2002-07,0.815,
2002-10,0.814,
2003-01,0.814,
2003-04,0.809,
2003-07,0.794,
2003-10,0.788,
2004-01,0.787,
2004-04,0.790,
2004-07,0.787,
2004-10,0.779,
2005-01,0.770,
2005-04,0.762,
2005-07,0.764,
2005-10,0.759,
2006-01,0.757,
2006-04,0.754,
2006-07,0.747,
2006-10,0.745,
2007-01,0.733,
2007-04,0.735,
2007-07,0.736,
2007-10,0.771,
2008-01,0.767,
2008-04,0.780,
2008-07,0.786,
2008-10,0.782,
2009-01,0.779,
2009-04,0.779,
2009-07,0.785,
2009-10,0.789,
2010-01,0.796,
2010-04,0.808,
2010-07,0.822,
2010-10,0.829,
2011-01,0.825,
2011-04,0.831,
2011-07,0.834,
2011-10,0.841,
2012-01,0.841,
2012-04,1.169,
2012-07,1.173,
2012-10,1.167,
2013-01,1.159,
2013-04,1.156,
2013-07,1.038,
2013-10,1.035,
2014-01,1.034,
2014-04,1.029,
2014-07,1.025,
