"",BBK01.OEHO05M,BBK01.OEHO05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:09,
2002-01,0.034,
2002-04,0.029,
2002-07,0.036,
2002-10,0.651,
2003-01,0.030,
2003-04,0.026,
2003-07,0.027,
2003-10,0.569,
2004-01,0.019,
2004-04,0.017,
2004-07,0.020,
2004-10,0.551,
2005-01,0.016,
2005-04,0.017,
2005-07,0.023,
2005-10,0.503,
2006-01,0.014,
2006-04,0.017,
2006-07,0.025,
2006-10,0.481,
2007-01,0.022,
2007-04,0.026,
2007-07,0.034,
2007-10,0.454,
2008-01,0.029,
2008-04,0.036,
2008-07,0.045,
2008-10,0.445,
2009-01,0.045,
2009-04,0.055,
2009-07,0.079,
2009-10,0.381,
2010-01,0.026,
2010-04,0.027,
2010-07,0.039,
2010-10,0.302,
2011-01,0.037,
2011-04,0.029,
2011-07,0.044,
2011-10,0.315,
2012-01,0.039,
2012-04,0.036,
2012-07,0.048,
2012-10,0.269,
2013-01,0.037,
2013-04,0.031,
2013-07,0.041,
2013-10,0.192,
2014-01,0.034,
2014-04,0.034,
2014-07,0.039,
