"",BBK01.OELB03L,BBK01.OELB03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:54,
2002-01,3.927,
2002-04,3.899,
2002-07,3.885,
2002-10,3.640,
2003-01,3.392,
2003-04,3.302,
2003-07,3.239,
2003-10,3.192,
2004-01,3.190,
2004-04,3.144,
2004-07,3.217,
2004-10,3.122,
2005-01,3.029,
2005-04,2.999,
2005-07,2.971,
2005-10,2.893,
2006-01,2.810,
2006-04,2.784,
2006-07,2.725,
2006-10,2.641,
2007-01,2.428,
2007-04,2.245,
2007-07,2.230,
2007-10,2.191,
2008-01,2.135,
2008-04,2.120,
2008-07,2.105,
2008-10,2.040,
2009-01,2.095,
2009-04,2.067,
2009-07,2.057,
2009-10,2.046,
2010-01,2.020,
2010-04,1.797,
2010-07,1.886,
2010-10,1.857,
2011-01,1.862,
2011-04,1.911,
2011-07,1.916,
2011-10,1.861,
2012-01,1.856,
2012-04,2.033,
2012-07,2.073,
2012-10,2.122,
2013-01,2.118,
2013-04,2.133,
2013-07,2.227,
2013-10,2.250,
2014-01,2.248,
2014-04,2.304,
2014-07,2.318,
