"",BBK01.OEBB12U,BBK01.OEBB12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:03,
2002-01,2.840,
2002-04,2.859,
2002-07,2.827,
2002-10,2.834,
2003-01,2.776,
2003-04,2.731,
2003-07,2.706,
2003-10,2.742,
2004-01,2.703,
2004-04,2.668,
2004-07,2.673,
2004-10,2.638,
2005-01,2.599,
2005-04,2.534,
2005-07,2.526,
2005-10,2.512,
2006-01,2.494,
2006-04,2.515,
2006-07,2.548,
2006-10,2.568,
2007-01,2.587,
2007-04,2.591,
2007-07,2.634,
2007-10,2.809,
2008-01,2.815,
2008-04,2.845,
2008-07,2.906,
2008-10,2.945,
2009-01,2.935,
2009-04,2.997,
2009-07,3.028,
2009-10,3.134,
2010-01,3.166,
2010-04,3.208,
2010-07,3.322,
2010-10,3.385,
2011-01,3.436,
2011-04,3.519,
2011-07,3.568,
2011-10,3.577,
2012-01,3.609,
2012-04,3.656,
2012-07,3.632,
2012-10,3.685,
2013-01,3.726,
2013-04,3.727,
2013-07,3.758,
2013-10,3.860,
2014-01,3.820,
2014-04,3.937,
2014-07,3.751,
