"",BBFB1.Q.N.DE.F1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:13,
1991-01,-341.896,
1991-04,-176.594,
1991-07,-488.291,
1991-10,-512.718,
1992-01,-575.099,
1992-04,-693.293,
1992-07,-769.589,
1992-10,-803.270,
1993-01,-437.427,
1993-04,-489.235,
1993-07,-443.226,
1993-10,-323.313,
1994-01,-390.341,
1994-04,-51.259,
1994-07,-413.866,
1994-10,-336.267,
1995-01,-269.681,
1995-04,-65.323,
1995-07,-88.223,
1995-10,290.977,
1996-01,-972.298,
1996-04,-216.087,
1996-07,-366.654,
1996-10,-325.705,
1997-01,-909.511,
1997-04,-455.412,
1997-07,-107.577,
1997-10,-117.962,
1998-01,-163.760,
1998-04,107.239,
1998-07,569.906,
1998-10,584.460,
1999-01,90.217,
1999-04,123.175,
1999-07,128.014,
1999-10,-187.906,
2000-01,-906.397,
2000-04,-606.802,
2000-07,-1236.607,
2000-10,-903.429,
2001-01,-487.423,
2001-04,-61.763,
2001-07,-377.569,
2001-10,39.840,
2002-01,-22.078,
2002-04,102.872,
2002-07,330.156,
2002-10,-310.300,
2003-01,84.385,
2003-04,499.071,
2003-07,317.323,
2003-10,256.373,
2004-01,701.445,
2004-04,1137.550,
2004-07,350.876,
2004-10,185.734,
2005-01,250.379,
2005-04,490.782,
2005-07,277.427,
2005-10,337.714,
2006-01,-36.769,
2006-04,441.206,
2006-07,-258.016,
2006-10,1001.785,
2007-01,728.493,
2007-04,644.684,
2007-07,560.738,
2007-10,608.352,
2008-01,198.551,
2008-04,230.640,
2008-07,-93.206,
2008-10,1703.266,
2009-01,1189.476,
2009-04,1547.424,
2009-07,1126.161,
2009-10,1627.520,
2010-01,1446.192,
2010-04,872.267,
2010-07,1743.858,
2010-10,1204.988,
2011-01,-236.437,
2011-04,198.293,
2011-07,41.648,
2011-10,-345.931,
2012-01,-284.667,
2012-04,784.229,
2012-07,129.903,
2012-10,-1187.714,
2013-01,68.589,
2013-04,209.866,
2013-07,437.906,
2013-10,251.801,
2014-01,919.507,Provisional value
2014-04,1859.447,Provisional value
2014-07,853.702,Provisional value
