"",BBK01.OUE175,BBK01.OUE175_FLAGS
"",Deposits and borrowing from resident households / Total / Branches of foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:19:24,
1999-01,0.417,
1999-02,0.433,
1999-03,0.413,
1999-04,0.413,
1999-05,0.422,
1999-06,0.424,
1999-07,0.449,
1999-08,0.468,
1999-09,0.518,
1999-10,0.570,
1999-11,0.642,
1999-12,0.735,
2000-01,0.818,
2000-02,0.916,
2000-03,0.983,
2000-04,1.064,
2000-05,1.157,
2000-06,1.222,
2000-07,1.289,
2000-08,1.377,
2000-09,1.404,
2000-10,1.441,
2000-11,1.503,
2000-12,1.550,
2001-01,1.651,
2001-02,1.757,
2001-03,1.871,
2001-04,2.023,
2001-05,2.135,
2001-06,2.227,
2001-07,2.356,
2001-08,2.444,
2001-09,2.528,
2001-10,2.651,
2001-11,2.705,
2001-12,2.762,
2002-01,2.788,
2002-02,2.763,
2002-03,2.711,
2002-04,2.669,
2002-05,2.614,
2002-06,2.560,
2002-07,2.498,
2002-08,2.472,
2002-09,2.471,
2002-10,2.497,
2002-11,2.477,
2002-12,2.492,
2003-01,2.510,
2003-02,2.585,
2003-03,2.671,
2003-04,2.856,
2003-05,3.034,
2003-06,3.133,
2003-07,3.259,
2003-08,3.430,
2003-09,3.399,
2003-10,4.379,
2003-11,4.329,
2003-12,4.365,
2004-01,4.385,
2004-02,4.418,
2004-03,4.406,
2004-04,4.468,
2004-05,4.474,
2004-06,4.498,
2004-07,4.472,
2004-08,4.481,
2004-09,4.492,
2004-10,4.508,
2004-11,4.526,
2004-12,4.610,
2005-01,4.572,
2005-02,4.733,
2005-03,4.879,
2005-04,5.033,
2005-05,5.218,
2005-06,5.411,
2005-07,5.639,
2005-08,5.713,
2005-09,5.762,
2005-10,5.809,
2005-11,5.822,
2005-12,5.976,
2006-01,6.121,
2006-02,6.249,
2006-03,6.435,
2006-04,6.636,
2006-05,7.003,
2006-06,7.158,
2006-07,7.162,
2006-08,7.183,
2006-09,7.255,
2006-10,7.230,
2006-11,7.300,
2006-12,7.500,
2007-01,7.728,
2007-02,8.127,
2007-03,8.428,
2007-04,8.629,
2007-05,8.965,
2007-06,9.253,
2007-07,9.300,
2007-08,9.459,
2007-09,9.483,
2007-10,9.229,
2007-11,9.173,
2007-12,9.228,
2008-01,9.643,
2008-02,9.849,
2008-03,10.253,
2008-04,10.589,
2008-05,10.887,
2008-06,11.002,
2008-07,11.169,
2008-08,11.292,
2008-09,11.144,
2008-10,10.984,
2008-11,11.328,
2008-12,11.584,
2009-01,12.034,
2009-02,12.318,
2009-03,12.630,
2009-04,13.000,
2009-05,13.703,
2009-06,14.167,
2009-07,14.838,
2009-08,15.422,
2009-09,15.193,
2009-10,15.159,
2009-11,15.139,
2009-12,15.036,
2010-01,15.349,
2010-02,15.781,
2010-03,16.024,
2010-04,16.204,
2010-05,16.460,
2010-06,16.584,
2010-07,16.934,
2010-08,17.091,
2010-09,17.614,
2010-10,18.144,
2010-11,18.692,
2010-12,19.279,
2011-01,20.253,
2011-02,21.483,
2011-03,22.788,
2011-04,23.935,
2011-05,25.182,
2011-06,26.156,
2011-07,27.308,
2011-08,28.203,
2011-09,28.806,
2011-10,29.297,
2011-11,30.852,
2011-12,32.803,
2012-01,35.583,
2012-02,38.441,
2012-03,40.987,
2012-04,43.507,
2012-05,45.624,
2012-06,46.729,
2012-07,48.110,
2012-08,49.441,
2012-09,50.908,
2012-10,52.098,
2012-11,53.237,
2012-12,54.467,
2013-01,55.948,
2013-02,57.528,
2013-03,58.547,
2013-04,59.293,
2013-05,60.397,
2013-06,61.141,
2013-07,62.201,
2013-08,62.960,
2013-09,63.517,
2013-10,64.472,
2013-11,65.292,
2013-12,66.231,
2014-01,67.312,
2014-02,68.107,
2014-03,68.391,
2014-04,68.823,
2014-05,69.636,
2014-06,69.967,
2014-07,70.569,
2014-08,70.513,
2014-09,70.269,
2014-10,70.733,
2014-11,71.011,
2014-12,71.829,Provisional value
