"",BBDA1.M.DE.N.EX.S.A.S3.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.S3.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Near and Middle East countries / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:47,
1993-01,686914,
1993-02,780946,
1993-03,716075,
1993-04,631946,
1993-05,642644,
1993-06,675882,
1993-07,633706,
1993-08,718308,
1993-09,663331,
1993-10,737280,
1993-11,716520,
1993-12,886744,
1994-01,700027,
1994-02,687915,
1994-03,779120,
1994-04,715219,
1994-05,871860,
1994-06,656799,
1994-07,634672,
1994-08,711024,
1994-09,628601,
1994-10,644016,
1994-11,719869,
1994-12,971657,
1995-01,628967,
1995-02,682430,
1995-03,750905,
1995-04,587016,
1995-05,635530,
1995-06,611440,
1995-07,633587,
1995-08,603274,
1995-09,606582,
1995-10,624731,
1995-11,741054,
1995-12,797440,
1996-01,626596,
1996-02,607734,
1996-03,624085,
1996-04,581246,
1996-05,630654,
1996-06,670644,
1996-07,818335,
1996-08,658982,
1996-09,702066,
1996-10,799913,
1996-11,723423,
1996-12,760554,
1997-01,620315,
1997-02,721555,
1997-03,758960,
1997-04,801758,
1997-05,696602,
1997-06,872768,
1997-07,878136,
1997-08,750575,
1997-09,867203,
1997-10,805377,
1997-11,780833,
1997-12,973696,
1998-01,711725,
1998-02,744245,
1998-03,900379,
1998-04,810549,
1998-05,821521,
1998-06,723785,
1998-07,880744,
1998-08,731244,
1998-09,791803,
1998-10,820260,
1998-11,873514,
1998-12,884769,
1999-01,604740,
1999-02,685385,
1999-03,1120128,
1999-04,717982,
1999-05,745205,
1999-06,1022012,
1999-07,898529,
1999-08,764563,
1999-09,797975,
1999-10,812339,
1999-11,994804,
1999-12,1008755,
2000-01,724309,
2000-02,823006,
2000-03,1038705,
2000-04,750538,
2000-05,996941,
2000-06,967026,
2000-07,1060492,
2000-08,1219840,
2000-09,1042268,
2000-10,1201689,
2000-11,1134660,
2000-12,1222686,
2001-01,1083842,
2001-02,1022990,
2001-03,1224607,
2001-04,1024724,
2001-05,1134076,
2001-06,1128688,
2001-07,1223038,
2001-08,1285019,
2001-09,1102546,
2001-10,1255388,
2001-11,1362693,
2001-12,1282382,
2002-01,1211054,
2002-02,1177883,
2002-03,1213485,
2002-04,1308835,
2002-05,1180443,
2002-06,1251031,
2002-07,1254855,
2002-08,1202403,
2002-09,1251216,
2002-10,1342768,
2002-11,1393243,
2002-12,1257356,
2003-01,1266451,
2003-02,1271808,
2003-03,1198491,
2003-04,1035227,
2003-05,1501060,
2003-06,1243391,
2003-07,1363174,
2003-08,1432806,
2003-09,1318483,
2003-10,1273321,
2003-11,1258162,
2003-12,1348956,
2004-01,1360133,
2004-02,1207580,
2004-03,1520598,
2004-04,1271859,
2004-05,1491053,
2004-06,1438560,
2004-07,1565274,
2004-08,1431288,
2004-09,1359748,
2004-10,1465910,
2004-11,1603830,
2004-12,1641017,
2005-01,1744027,
2005-02,1420152,
2005-03,1550100,
2005-04,1497524,
2005-05,1637374,
2005-06,1727094,
2005-07,1835026,
2005-08,1990668,
2005-09,1859492,
2005-10,1638378,
2005-11,1764465,
2005-12,1755452,
2006-01,1698758,
2006-02,1762430,
2006-03,1913948,
2006-04,1740138,
2006-05,1788145,
2006-06,1697252,
2006-07,1949063,
2006-08,1931533,
2006-09,2036019,
2006-10,2043914,
2006-11,2353229,
2006-12,2063340,
2007-01,1919463,
2007-02,1997789,
2007-03,2000780,
2007-04,1805885,
2007-05,1739331,
2007-06,1767705,
2007-07,2053942,
2007-08,2180232,
2007-09,1970410,
2007-10,2115441,
2007-11,2126897,
2007-12,2030775,
2008-01,2122954,
2008-02,2155791,
2008-03,1943440,
2008-04,2479460,
2008-05,1869839,
2008-06,2157312,
2008-07,2379839,
2008-08,1934177,
2008-09,2341389,
2008-10,2648328,
2008-11,2746767,
2008-12,2718939,
2009-01,1819279,
2009-02,1909221,
2009-03,2044368,
2009-04,1890711,
2009-05,1795234,
2009-06,1861361,
2009-07,2274998,
2009-08,1703854,
2009-09,1780375,
2009-10,1811931,
2009-11,2070623,
2009-12,2636064,
2010-01,1700694,
2010-02,2053936,
2010-03,2343983,
2010-04,1978976,
2010-05,2201404,
2010-06,2539109,
2010-07,2590041,
2010-08,2363452,
2010-09,2977514,
2010-10,2165306,
2010-11,2725597,
2010-12,2498302,
2011-01,1918518,
2011-02,2175684,
2011-03,2411622,
2011-04,2078519,
2011-05,2244768,
2011-06,2014528,
2011-07,2211306,
2011-08,2263644,
2011-09,2363195,
2011-10,2611516,
2011-11,2878517,
2011-12,3539095,
2012-01,2153168,
2012-02,2645989,
2012-03,2710811,
2012-04,2503787,
2012-05,2558895,
2012-06,2714832,
2012-07,2563072,
2012-08,2934849,
2012-09,2915509,
2012-10,2824324,
2012-11,2930078,
2012-12,3048036,
2013-01,2245807,
2013-02,2475755,
2013-03,2730941,
2013-04,2562944,
2013-05,2840377,
2013-06,2706881,
2013-07,2478186,
2013-08,2589331,
2013-09,2697876,
2013-10,2907834,
2013-11,3324824,
2013-12,3193417,
2014-01,2256472,
2014-02,2821837,
2014-03,3066676,
2014-04,2705636,
2014-05,2947938,
2014-06,2649158,
2014-07,3328990,
2014-08,2451610,
2014-09,3428024,
2014-10,3622704,
2014-11,2838608,
2014-12,3493731,
