"",BBK01.OEBB10Q,BBK01.OEBB10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:18,
2002-01,1.699,
2002-04,1.615,
2002-07,1.653,
2002-10,1.594,
2003-01,1.339,
2003-04,1.447,
2003-07,1.385,
2003-10,1.233,
2004-01,1.146,
2004-04,1.174,
2004-07,1.160,
2004-10,1.054,
2005-01,1.049,
2005-04,0.989,
2005-07,1.006,
2005-10,0.803,
2006-01,0.840,
2006-04,0.836,
2006-07,0.815,
2006-10,0.840,
2007-01,0.797,
2007-04,0.856,
2007-07,0.880,
2007-10,0.899,
2008-01,0.877,
2008-04,0.918,
2008-07,0.985,
2008-10,0.863,
2009-01,0.898,
2009-04,0.807,
2009-07,0.793,
2009-10,0.687,
2010-01,0.742,
2010-04,0.772,
2010-07,0.819,
2010-10,0.750,
2011-01,0.794,
2011-04,0.823,
2011-07,0.893,
2011-10,0.723,
2012-01,0.789,
2012-04,0.804,
2012-07,0.869,
2012-10,0.760,
2013-01,0.912,
2013-04,0.871,
2013-07,0.996,
2013-10,0.857,
2014-01,0.904,
2014-04,0.966,
2014-07,0.994,
