"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L.Z06._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L.Z06._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Denominated in foreign currency / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:51,
1991-01,5469.898,
1991-02,7590.869,
1991-03,9085.161,
1991-04,7542.866,
1991-05,9299.777,
1991-06,7583.068,
1991-07,7629.299,
1991-08,8601.369,
1991-09,8392.052,
1991-10,9926.814,
1991-11,9131.748,
1991-12,8515.288,
1992-01,14605.987,
1992-02,17650.109,
1992-03,16293.657,
1992-04,12006.355,
1992-05,10845.489,
1992-06,14015.074,
1992-07,12176.687,
1992-08,7980.307,
1992-09,10729.782,
1992-10,12196.424,
1992-11,9731.476,
1992-12,8824.395,
1993-01,10839.973,
1993-02,14471.455,
1993-03,18212.859,
1993-04,15063.199,
1993-05,12425.791,
1993-06,14850.239,
1993-07,18099.849,
1993-08,18864.334,
1993-09,14331.356,
1993-10,17489.404,
1993-11,15393.319,
1993-12,14895.397,
1994-01,18102.529,
1994-02,18677.323,
1994-03,19055.234,
1994-04,13477.251,
1994-05,9680.653,
1994-06,14073.580,
1994-07,10809.040,
1994-08,10400.450,
1994-09,11704.839,
1994-10,10105.343,
1994-11,10943.861,
1994-12,11971.145,
1995-01,11511.327,
1995-02,11794.393,
1995-03,14513.760,
1995-04,10868.080,
1995-05,13647.814,
1995-06,15064.400,
1995-07,14026.778,
1995-08,17837.346,
1995-09,17544.164,
1995-10,14195.801,
1995-11,19719.602,
1995-12,17178.031,
1996-01,25322.283,
1996-02,22274.958,
1996-03,21859.053,
1996-04,24250.981,
1996-05,22409.515,
1996-06,18319.576,
1996-07,29021.805,
1996-08,19861.311,
1996-09,20200.557,
1996-10,29515.561,
1996-11,22522.166,
1996-12,23977.893,
1997-01,32312.466,
1997-02,31884.465,
1997-03,27274.427,
1997-04,30241.258,
1997-05,29758.691,
1997-06,37690.104,
1997-07,45590.816,
1997-08,40047.876,
1997-09,35822.774,
1997-10,43117.464,
1997-11,34813.905,
1997-12,35336.576,
1998-01,41424.407,
1998-02,53395.905,
1998-03,51009.875,
1998-04,46536.973,
1998-05,49781.883,
1998-06,53331.788,
1998-07,47988.035,
1998-08,60007.139,
1998-09,62378.663,
1998-10,68344.497,
1998-11,58468.955,
1998-12,51996.598,
1999-01,31074.119,
1999-02,30039.094,
1999-03,38174.418,
1999-04,31726.974,
1999-05,35048.745,
1999-06,35280.175,
1999-07,31496.857,
1999-08,26273.491,
1999-09,28305.344,
1999-10,24675.922,
1999-11,29717.165,
1999-12,23131.301,
2000-01,27113.104,
2000-02,30881.759,
2000-03,38665.800,
2000-04,26017.318,
2000-05,36977.867,
2000-06,35302.877,
2000-07,28289.287,
2000-08,27951.582,
2000-09,33505.447,
2000-10,37754.855,
2000-11,39011.230,
2000-12,39159.820,
2001-01,43265.603,
2001-02,36885.670,
2001-03,48076.851,
2001-04,38770.316,
2001-05,62751.045,
2001-06,42388.684,
2001-07,42721.027,
2001-08,37543.172,
2001-09,32400.223,
2001-10,46077.567,
2001-11,58372.286,
2001-12,36554.128,
2002-01,45870.899,
2002-02,33850.746,
2002-03,46226.189,
2002-04,37133.727,
2002-05,31570.107,
2002-06,28814.016,
2002-07,37493.178,
2002-08,32257.990,
2002-09,31025.693,
2002-10,38475.911,
2002-11,32736.301,
2002-12,28406.410,
2003-01,31956.382,
2003-02,29219.862,
2003-03,34724.855,
2003-04,26041.296,
2003-05,33291.058,
2003-06,35460.275,
2003-07,40745.387,
2003-08,27666.070,
2003-09,29085.171,
2003-10,30896.496,
2003-11,24243.005,
2003-12,23738.647,
2004-01,28180.334,
2004-02,31902.262,
2004-03,39238.788,
