"",BBK01.OEXB15G,BBK01.OEXB15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:58,
2002-01,0.993,
2002-04,2.174,
2002-07,2.208,
2002-10,2.286,
2003-01,2.269,
2003-04,2.179,
2003-07,2.301,
2003-10,2.659,
2004-01,2.759,
2004-04,2.793,
2004-07,2.758,
2004-10,3.136,
2005-01,2.800,
2005-04,2.794,
2005-07,2.305,
2005-10,2.344,
2006-01,2.347,
2006-04,2.373,
2006-07,2.339,
2006-10,1.769,
2007-01,1.828,
2007-04,1.895,
2007-07,1.961,
2007-10,2.052,
2008-01,2.099,
2008-04,2.144,
2008-07,2.192,
2008-10,2.290,
2009-01,2.328,
2009-04,2.275,
2009-07,2.247,
2009-10,2.265,
2010-01,2.226,
2010-04,2.281,
2010-07,2.337,
2010-10,2.361,
2011-01,2.339,
2011-04,2.398,
2011-07,2.478,
2011-10,2.560,
2012-01,2.536,
2012-04,2.595,
2012-07,2.579,
2012-10,2.605,
2013-01,2.554,
2013-04,2.598,
2013-07,2.559,
2013-10,2.596,
2014-01,2.587,
2014-04,2.573,
2014-07,2.567,
