"",BBK01.OEAH66R,BBK01.OEAH66R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:55,
2002-01,0.784,
2002-04,0.807,
2002-07,0.798,
2002-10,0.800,
2003-01,0.785,
2003-04,0.786,
2003-07,0.779,
2003-10,0.772,
2004-01,0.767,
2004-04,0.761,
2004-07,0.753,
2004-10,0.742,
2005-01,0.715,
2005-04,0.689,
2005-07,0.670,
2005-10,0.651,
2006-01,0.623,
2006-04,0.622,
2006-07,0.609,
2006-10,0.591,
2007-01,0.578,
2007-04,0.579,
2007-07,0.568,
2007-10,0.555,
2008-01,0.525,
2008-04,0.512,
2008-07,0.492,
2008-10,0.512,
2009-01,0.492,
2009-04,0.475,
2009-07,0.465,
2009-10,0.486,
2010-01,0.517,
2010-04,0.544,
2010-07,0.542,
2010-10,0.519,
2011-01,0.524,
2011-04,0.559,
2011-07,0.562,
2011-10,0.580,
2012-01,0.584,
2012-04,0.580,
2012-07,0.566,
2012-10,0.530,
2013-01,0.504,
2013-04,0.474,
2013-07,0.466,
2013-10,0.476,
2014-01,0.470,
2014-04,0.453,
2014-07,0.437,
