"",BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:31,
1991-01,-38.310,
1991-04,-5.166,
1991-07,-52.277,
1991-10,-6.667,
1992-01,-156.022,
1992-04,-41.055,
1992-07,-126.296,
1992-10,-0.061,
1993-01,-7.952,
1993-04,-132.932,
1993-07,-15.398,
1993-10,-0.165,
1994-01,-0.064,
1994-04,-2.705,
1994-07,-5.159,
1994-10,-1.288,
1995-01,-0.435,
1995-04,0.182,
1995-07,0.142,
1995-10,-0.024,
1996-01,-0.055,
1996-04,-0.041,
1996-07,-0.228,
1996-10,-0.492,
1997-01,-0.036,
1997-04,-0.263,
1997-07,-0.675,
1997-10,-0.037,
1998-01,-0.029,
1998-04,-0.306,
1998-07,-0.389,
1998-10,-0.101,
1999-01,0.049,
1999-04,-0.041,
1999-07,0.426,
1999-10,-0.980,
2000-01,-0.226,
2000-04,-0.019,
2000-07,-0.051,
2000-10,10.743,
2001-01,8.402,
2001-04,8.156,
2001-07,-0.395,
2001-10,5.615,
2002-01,-0.198,
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-0.053,
2003-01,4.982,
2003-04,-,Nothing exists
2003-07,-0.038,
2003-10,-0.029,
2004-01,-0.198,
2004-04,3.253,
2004-07,-1.564,
2004-10,-,Nothing exists
2005-01,-0.230,
2005-04,-3.385,
2005-07,0.050,
2005-10,0.465,
2006-01,-0.494,
2006-04,15.888,
2006-07,0.039,
2006-10,-0.389,
2007-01,-0.390,
2007-04,-0.338,
2007-07,0.261,
2007-10,-0.081,
2008-01,-0.282,
2008-04,15.884,
2008-07,-0.510,
2008-10,-0.179,
2009-01,-0.363,
2009-04,-6.506,
2009-07,-0.184,
2009-10,-0.073,
2010-01,-1.443,
2010-04,-9.821,
2010-07,-0.080,
2010-10,0.281,
2011-01,-0.059,
2011-04,0.678,
2011-07,-0.095,
2011-10,-0.025,
2012-01,0.101,
2012-04,-0.076,
2012-07,15.037,
2012-10,-0.001,
2013-01,-17.080,
2013-04,-69.054,
2013-07,27.758,
2013-10,19.000,
2014-01,22.000,Provisional value
2014-04,-21.000,Provisional value
2014-07,-17.430,Provisional value
2014-10,15.000,Provisional value
