"",BBK01.OECB05N,BBK01.OECB05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:48,
2002-01,50.445,
2002-04,50.600,
2002-07,48.875,
2002-10,47.625,
2003-01,45.098,
2003-04,44.855,
2003-07,43.626,
2003-10,43.306,
2004-01,42.635,
2004-04,41.657,
2004-07,41.100,
2004-10,39.618,
2005-01,50.644,
2005-04,50.673,
2005-07,51.206,
2005-10,49.146,
2006-01,49.376,
2006-04,50.462,
2006-07,50.915,
2006-10,50.121,
2007-01,50.589,
2007-04,51.490,
2007-07,50.912,
2007-10,55.186,
2008-01,55.838,
2008-04,56.852,
2008-07,60.470,
2008-10,64.842,
2009-01,60.163,
2009-04,62.996,
2009-07,71.003,
2009-10,62.797,
2010-01,61.341,
2010-04,68.357,
2010-07,62.806,
2010-10,63.099,
2011-01,62.026,
2011-04,66.113,
2011-07,72.076,
2011-10,75.029,
2012-01,66.752,
2012-04,72.650,
2012-07,74.602,
2012-10,69.637,
2013-01,70.953,
2013-04,70.407,
2013-07,53.856,
2013-10,53.711,
2014-01,55.633,
2014-04,56.125,
2014-07,55.067,
