"",BBK01.CEHDQ2,BBK01.CEHDQ2_FLAGS
"",Currency and transferable deposits (consolidated) debtor: All sectors                   creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:51,
1991-01,-8.7,
1991-04,1.1,
1991-07,0.3,
1991-10,-3.6,
1992-01,2.2,
1992-04,3.4,
1992-07,35.6,
1992-10,-30.1,
1993-01,8.0,
1993-04,12.3,
1993-07,-0.6,
1993-10,-7.6,
1994-01,1.8,
1994-04,6.2,
1994-07,-6.9,
1994-10,-1.7,
1995-01,2.2,
1995-04,-1.2,
1995-07,4.9,
1995-10,-0.9,
1996-01,7.2,
1996-04,-0.5,
1996-07,7.2,
1996-10,-11.3,
1997-01,2.1,
1997-04,9.8,
1997-07,-6.8,
1997-10,1.7,
1998-01,15.2,
1998-04,6.7,
1998-07,10.8,
1998-10,-31.7,
1999-01,46.8,
1999-04,-3.6,
1999-07,-12.0,
1999-10,-24.1,
2000-01,27.5,
2000-04,3.6,
2000-07,-14.2,
2000-10,6.1,
2001-01,31.5,
2001-04,18.2,
2001-07,6.5,
2001-10,-21.7,
2002-01,-11.3,
2002-04,36.8,
2002-07,6.7,
2002-10,3.6,
2003-01,28.9,
2003-04,26.1,
2003-07,-1.5,
2003-10,-38.0,
2004-01,25.3,
2004-04,-9.1,
2004-07,21.5,
2004-10,-69.7,
2005-01,80.0,
2005-04,19.7,
2005-07,-15.2,
2005-10,-66.8,
2006-01,70.9,
2006-04,-0.6,
2006-07,-17.3,
2006-10,8.6,
2007-01,31.8,
2007-04,26.4,
2007-07,13.0,
2007-10,-67.7,
2008-01,72.2,
2008-04,-2.7,
2008-07,-1.4,
2008-10,0.6,
2009-01,9.0,
2009-04,-11.1,
2009-07,-11.3,
2009-10,-26.5,
2010-01,23.6,
2010-04,32.8,
2010-07,-0.5,
2010-10,-21.6,
2011-01,30.1,
2011-04,19.5,
2011-07,39.8,
2011-10,-67.4,
2012-01,48.3,
2012-04,13.2,
2012-07,30.5,
2012-10,-47.5,
2013-01,34.3,
2013-04,20.8,
2013-07,-20.8,
2013-10,-15.2,
2014-01,24.0,
