"",BBK01.OECM04M,BBK01.OECM04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:43,
2002-01,0.217,
2002-04,0.270,
2002-07,0.206,
2002-10,0.166,
2003-01,0.136,
2003-04,0.182,
2003-07,0.148,
2003-10,0.147,
2004-01,0.098,
2004-04,0.127,
2004-07,0.104,
2004-10,0.128,
2005-01,0.070,
2005-04,0.123,
2005-07,0.099,
2005-10,0.124,
2006-01,0.083,
2006-04,0.127,
2006-07,0.111,
2006-10,0.099,
2007-01,0.079,
2007-04,0.111,
2007-07,0.136,
2007-10,0.090,
2008-01,0.046,
2008-04,0.102,
2008-07,0.109,
2008-10,0.171,
2009-01,0.234,
2009-04,0.228,
2009-07,0.112,
2009-10,0.065,
2010-01,0.120,
2010-04,0.148,
2010-07,0.172,
2010-10,0.183,
2011-01,0.064,
2011-04,0.226,
2011-07,0.212,
2011-10,0.152,
2012-01,0.177,
2012-04,0.345,
2012-07,0.404,
2012-10,0.435,
2013-01,0.493,
2013-04,0.593,
2013-07,0.532,
2013-10,0.532,
2014-01,0.570,
2014-04,0.641,
2014-07,0.631,
