"",BBSF2.M.1.S.I0015.IMM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.IMM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net asset value / Private non-profit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:05,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,339,
1993-05,346,
1993-06,347,
1993-07,355,
1993-08,368,
1993-09,371,
1993-10,378,
1993-11,382,
1993-12,384,
1994-01,385,
1994-02,386,
1994-03,379,
1994-04,430,
1994-05,440,
1994-06,447,
1994-07,449,
1994-08,477,
1994-09,487,
1994-10,489,
1994-11,488,
1994-12,485,
1995-01,488,
1995-02,509,
1995-03,501,
1995-04,346,
1995-05,357,
1995-06,359,
1995-07,366,
1995-08,367,
1995-09,369,
1995-10,371,
1995-11,369,
1995-12,370,
1996-01,377,
1996-02,378,
1996-03,380,
1996-04,381,
1996-05,409,
1996-06,416,
1996-07,417,
1996-08,419,
1996-09,420,
1996-10,421,
1996-11,424,
1996-12,426,
1997-01,430,
1997-02,432,
1997-03,433,
1997-04,434,
1997-05,426,
1997-06,426,
1997-07,427,
1997-08,429,
1997-09,431,
1997-10,431,
1997-11,430,
1997-12,432,
1998-01,434,
1998-02,446,
1998-03,447,
1998-04,452,
1998-05,454,
1998-06,455,
1998-07,457,
1998-08,459,
1998-09,461,
1998-10,462,
1998-11,461,
1998-12,463,
1999-01,464,
1999-02,466,
1999-03,467,
1999-04,481,
1999-05,486,
1999-06,488,
1999-07,489,
1999-08,491,
1999-09,492,
1999-10,494,
1999-11,491,
1999-12,498,
2000-01,514,
2000-02,514,
2000-03,518,
2000-04,520,
2000-05,522,
2000-06,524,
2000-07,531,
2000-08,533,
2000-09,545,
2000-10,548,
2000-11,548,
2000-12,550,
2001-01,553,
2001-02,555,
2001-03,559,
2001-04,561,
2001-05,589,
2001-06,594,
2001-07,596,
2001-08,599,
2001-09,599,
2001-10,593,
2001-11,601,
2001-12,603,
2002-01,643,
2002-02,645,
2002-03,647,
2002-04,649,
2002-05,645,
2002-06,647,
2002-07,650,
2002-08,652,
2002-09,658,
2002-10,656,
2002-11,646,
2002-12,649,
2003-01,651,
2003-02,652,
2003-03,654,
2003-04,657,
2003-05,659,
2003-06,658,
2003-07,660,
2003-08,662,
2003-09,662,
2003-10,663,
2003-11,653,
2003-12,666,
2004-01,681,
2004-02,682,
2004-03,684,
2004-04,686,
2004-05,686,
2004-06,691,
2004-07,696,
2004-08,700,
2004-09,699,
2004-10,701,
2004-11,679,
2004-12,681,
2005-01,661,
2005-02,663,
2005-03,664,
2005-04,666,
2005-05,666,
2005-06,665,
2005-07,667,
2005-08,669,
2005-09,674,
2005-10,675,
2005-11,658,
2005-12,659,
2006-01,660,
2006-02,662,
2006-03,663,
2006-04,666,
2006-05,668,
2006-06,608,
2006-07,610,
2006-08,612,
2006-09,616,
2006-10,618,
2006-11,612,
2006-12,611,
2007-01,622,
2007-02,624,
2007-03,632,
2007-04,637,
2007-05,639,
2007-06,641,
2007-07,1555,
2007-08,1559,
2007-09,1569,
2007-10,1575,
2007-11,1563,
2007-12,1567,
2008-01,1569,
2008-02,1576,
2008-03,1583,
2008-04,1593,
2008-05,1599,
2008-06,1581,
2008-07,1600,
2008-08,1610,
2008-09,1617,
2008-10,1622,
2008-11,1610,
2008-12,1615,
2009-01,1616,
2009-02,1640,
2009-03,1655,
2009-04,1673,
2009-05,1691,
2009-06,1688,
2009-07,1735,
2009-08,1751,
2009-09,1738,
2009-10,1724,
2009-11,1738,
2009-12,1762,
2010-01,1762,
2010-02,1771,
2010-03,1775,
2010-04,1783,
2010-05,1804,
2010-06,1776,
2010-07,1801,
2010-08,1842,
2010-09,1858,
2010-10,1863,
2010-11,1860,
2010-12,1877,
2011-01,1896,
2011-02,1904,
2011-03,1944,
2011-04,1960,
2011-05,1966,
2011-06,1939,
2011-07,2013,
2011-08,2023,
2011-09,2027,
2011-10,2073,
2011-11,2060,
2011-12,2125,
2012-01,2144,
2012-02,2151,
2012-03,2177,
2012-04,2188,
2012-05,2200,
2012-06,2186,
2012-07,2198,
2012-08,2262,
2012-09,2358,
2012-10,2374,
2012-11,2178,
2012-12,2220,
2013-01,2234,
2013-02,2245,
2013-03,2299,
2013-04,2259,
2013-05,2254,
2013-06,2238,
2013-07,2259,
2013-08,2270,
2013-09,2289,
2013-10,2301,
2013-11,2289,
2013-12,2340,
2014-01,2358,
2014-02,2378,
2014-03,2392,
2014-04,2437,
2014-05,2467,
2014-06,2447,
2014-07,2476,
2014-08,2498,
2014-09,2523,
2014-10,2548,
2014-11,2556,
