"",BBQFS.Q.DE.BANK.LEV_RAT._X.0000,BBQFS.Q.DE.BANK.LEV_RAT._X.0000_FLAGS
"",Leverage ratio of banks in Germany (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:48,
1999-01,32.42,
1999-04,31.71,
1999-07,31.77,
1999-10,32.00,
2000-01,34.07,
2000-04,33.26,
2000-07,32.55,
2000-10,31.77,
2001-01,32.33,
2001-04,31.84,
2001-07,31.92,
2001-10,31.31,
2002-01,30.96,
2002-04,29.52,
2002-07,28.67,
2002-10,28.97,
2003-01,28.69,
2003-04,28.67,
2003-07,28.30,
2003-10,28.39,
2004-01,29.75,
2004-04,29.87,
2004-07,30.33,
2004-10,30.60,
2005-01,31.36,
2005-04,31.04,
2005-07,30.62,
2005-10,29.85,
2006-01,29.37,
2006-04,28.68,
2006-07,28.65,
2006-10,28.96,
2007-01,29.82,
2007-04,30.68,
2007-07,31.55,
2007-10,32.41,
2008-01,32.41,
2008-04,30.92,
2008-07,31.10,
2008-10,31.56,
2009-01,29.62,
2009-04,28.13,
2009-07,27.43,
2009-10,26.65,
2010-01,27.18,
2010-04,28.80,
2010-07,28.20,
2010-10,27.76,
2011-01,25.62,
2011-04,24.98,
2011-07,26.86,
2011-10,26.41,
2012-01,25.17,
2012-04,24.66,
2012-07,23.89,
2012-10,22.27,
2013-01,21.96,
2013-04,20.41,
2013-07,20.10,
2013-10,19.47,
2014-01,19.41,
2014-04,18.59,
"","Methodology: Total assets as a multiple of tier 1 capital. Revised valuation of tier 1 capital and risk-weighted assets apply as of 2007, 2011 and 2014 due to EU Capital Requirements Directives CRD II, CRD III and CRD IV respectively. 2010 transition period pursuant to the Act Modernising Accounting Law (Bilanzrechtsmodernisierungsgesetz).",
