"",BBFB1.Q.N.DE.ES.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:57,
1991-01,122.185,
1991-04,134.706,
1991-07,190.464,
1991-10,117.753,
1992-01,110.466,
1992-04,88.936,
1992-07,112.600,
1992-10,60.256,
1993-01,-156.473,
1993-04,-108.732,
1993-07,-89.983,
1993-10,-100.711,
1994-01,179.552,
1994-04,152.729,
1994-07,194.558,
1994-10,223.996,
1995-01,363.115,
1995-04,318.626,
1995-07,308.261,
1995-10,291.450,
1996-01,63.478,
1996-04,197.064,
1996-07,261.365,
1996-10,154.819,
1997-01,359.245,
1997-04,403.510,
1997-07,486.455,
1997-10,581.482,
1998-01,299.674,
1998-04,336.754,
1998-07,382.972,
1998-10,450.356,
1999-01,194.635,
1999-04,197.042,
1999-07,379.530,
1999-10,272.793,
2000-01,500.036,
2000-04,352.337,
2000-07,352.716,
2000-10,144.124,
2001-01,485.121,
2001-04,407.368,
2001-07,521.147,
2001-10,413.781,
2002-01,440.354,
2002-04,515.707,
2002-07,585.028,
2002-10,658.952,
2003-01,339.594,
2003-04,225.255,
2003-07,304.247,
2003-10,368.163,
2004-01,1557.232,
2004-04,1574.467,
2004-07,1921.752,
2004-10,1986.813,
2005-01,1355.324,
2005-04,1231.358,
2005-07,1370.386,
2005-10,1334.338,
2006-01,1700.066,
2006-04,1858.880,
2006-07,2188.212,
2006-10,2382.351,
2007-01,2350.282,
2007-04,2448.657,
2007-07,2627.261,
2007-10,2577.881,
2008-01,2430.824,
2008-04,2611.673,
2008-07,2801.063,
2008-10,2630.212,
2009-01,2296.219,
2009-04,2079.425,
2009-07,2142.965,
2009-10,2109.069,
2010-01,2159.371,
2010-04,2189.269,
2010-07,2117.621,
2010-10,2239.527,
2011-01,2623.440,
2011-04,2194.103,
2011-07,2479.554,
2011-10,2323.948,
2012-01,2206.007,
2012-04,2221.467,
2012-07,2394.941,
2012-10,2306.104,
2013-01,1902.311,
2013-04,1704.202,
2013-07,1833.446,
2013-10,1881.880,
2014-01,1709.457,Provisional value
2014-04,1731.881,Provisional value
2014-07,1731.052,Provisional value
