"",BBK01.CEBDN0,BBK01.CEBDN0_FLAGS
"",Currency and transferable deposits debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:54,
1991-01,31.0,
1991-04,32.6,
1991-07,33.0,
1991-10,27.9,
1992-01,30.5,
1992-04,33.4,
1992-07,68.1,
1992-10,37.5,
1993-01,45.2,
1993-04,57.5,
1993-07,56.4,
1993-10,49.1,
1994-01,49.6,
1994-04,54.8,
1994-07,48.2,
1994-10,45.8,
1995-01,49.4,
1995-04,48.1,
1995-07,52.8,
1995-10,49.5,
1996-01,58.7,
1996-04,57.8,
1996-07,65.2,
1996-10,50.7,
1997-01,56.5,
1997-04,65.9,
1997-07,58.0,
1997-10,58.1,
1998-01,76.1,
1998-04,81.9,
1998-07,91.8,
1998-10,58.3,
1999-01,121.0,
1999-04,112.0,
1999-07,102.5,
1999-10,72.8,
2000-01,98.6,
2000-04,100.0,
2000-07,92.9,
2000-10,88.8,
2001-01,119.7,
2001-04,140.6,
2001-07,138.2,
2001-10,116.3,
2002-01,113.2,
2002-04,137.1,
2002-07,147.1,
2002-10,147.9,
2003-01,169.5,
2003-04,187.9,
2003-07,193.7,
2003-10,159.0,
2004-01,180.8,
2004-04,180.2,
2004-07,199.8,
2004-10,140.3,
2005-01,207.6,
2005-04,231.9,
2005-07,215.7,
2005-10,157.8,
2006-01,217.0,
2006-04,207.4,
2006-07,199.6,
2006-10,205.2,
2007-01,230.5,
2007-04,254.6,
2007-07,260.7,
2007-10,211.2,
2008-01,262.2,
2008-04,257.2,
2008-07,271.6,
2008-10,265.8,
2009-01,275.5,
2009-04,275.3,
2009-07,278.6,
2009-10,263.8,
2010-01,292.2,
2010-04,325.4,
2010-07,334.7,
2010-10,321.7,
2011-01,335.9,
2011-04,347.5,
2011-07,400.0,
2011-10,345.4,
2012-01,395.0,
2012-04,412.5,
2012-07,447.5,
2012-10,407.1,
2013-01,427.8,
2013-04,437.6,
2013-07,432.5,
2013-10,417.8,
2014-01,442.7,
