"",BBK01.OEXB02T,BBK01.OEXB02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:10,
2002-01,0.459,
2002-04,0.459,
2002-07,0.542,
2002-10,0.556,
2003-01,0.586,
2003-04,0.568,
2003-07,0.601,
2003-10,0.600,
2004-01,0.556,
2004-04,0.530,
2004-07,0.543,
2004-10,0.468,
2005-01,0.454,
2005-04,0.390,
2005-07,0.440,
2005-10,0.454,
2006-01,0.508,
2006-04,0.484,
2006-07,0.421,
2006-10,0.417,
2007-01,0.395,
2007-04,0.400,
2007-07,0.425,
2007-10,0.444,
2008-01,0.451,
2008-04,0.434,
2008-07,0.466,
2008-10,0.400,
2009-01,0.376,
2009-04,0.356,
2009-07,0.376,
2009-10,0.362,
2010-01,0.357,
2010-04,0.364,
2010-07,0.239,
2010-10,0.240,
2011-01,0.218,
2011-04,0.228,
2011-07,0.281,
2011-10,0.262,
2012-01,0.269,
2012-04,0.338,
2012-07,0.344,
2012-10,0.375,
2013-01,0.349,
2013-04,0.354,
2013-07,0.368,
2013-10,0.361,
2014-01,0.438,
2014-04,0.442,
2014-07,0.456,
