"",BBFN1.M.DE.N.1.L.NL.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NL.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Netherlands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:00,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,3.817,
1995-01,3.536,
1995-02,3.544,
1995-03,3.800,
1995-04,3.838,
1995-05,3.838,
1995-06,3.988,
1995-07,3.530,
1995-08,3.350,
1995-09,3.756,
1995-10,3.838,
1995-11,4.030,
1995-12,3.989,
1996-01,3.528,
1996-02,3.476,
1996-03,3.960,
1996-04,3.647,
1996-05,3.555,
1996-06,3.518,
1996-07,3.270,
1996-08,3.190,
1996-09,3.394,
1996-10,3.174,
1996-11,3.335,
1996-12,3.547,
1997-01,3.532,
1997-02,3.524,
1997-03,3.669,
1997-04,3.675,
1997-05,3.644,
1997-06,3.568,
1997-07,3.458,
1997-08,3.406,
1997-09,3.513,
1997-10,3.558,
1997-11,3.833,
1997-12,4.431,
1998-01,3.849,
1998-02,3.764,
1998-03,3.799,
1998-04,3.457,
1998-05,3.419,
1998-06,3.399,
1998-07,3.293,
1998-08,3.190,
1998-09,3.534,
1998-10,3.387,
1998-11,3.404,
1998-12,3.823,
1999-01,3.382,
1999-02,3.316,
1999-03,3.450,
1999-04,3.539,
1999-05,3.357,
1999-06,3.790,
1999-07,3.491,
1999-08,3.428,
1999-09,3.719,
1999-10,3.759,
1999-11,3.733,
1999-12,4.336,
2000-01,4.032,
2000-02,4.451,
2000-03,4.621,
2000-04,4.562,
2000-05,4.636,
2000-06,5.077,
2000-07,4.738,
2000-08,4.933,
2000-09,5.381,
2000-10,5.892,
2000-11,6.577,
2000-12,5.619,
2001-01,5.318,
2001-02,5.489,
2001-03,5.579,
2001-04,5.074,
2001-05,5.102,
2001-06,4.890,
2001-07,4.815,
2001-08,4.641,
2001-09,4.985,
2001-10,5.123,
2001-11,5.447,
2001-12,5.666,
2002-01,5.112,
2002-02,5.012,
2002-03,4.939,
2002-04,4.790,
2002-05,4.627,
2002-06,4.801,
2002-07,4.984,
2002-08,4.553,
2002-09,4.619,
2002-10,4.646,
2002-11,5.138,
2002-12,5.019,
2003-01,4.416,
2003-02,4.826,
2003-03,4.619,
2003-04,4.260,
2003-05,4.440,
2003-06,4.350,
2003-07,4.184,
2003-08,3.994,
2003-09,4.378,
2003-10,4.500,
2003-11,4.658,
2003-12,4.614,
2004-01,4.356,
2004-02,4.489,
2004-03,5.017,
2004-04,4.730,
2004-05,4.580,
2004-06,4.597,
2004-07,4.506,
2004-08,4.619,
2004-09,5.021,
2004-10,4.985,
2004-11,5.205,
2004-12,5.042,
2005-01,4.822,
2005-02,4.905,
2005-03,4.919,
2005-04,5.027,
2005-05,4.671,
2005-06,4.717,
2005-07,4.467,
2005-08,4.691,
2005-09,5.071,
2005-10,5.294,
2005-11,5.001,
2005-12,5.202,
2006-01,4.657,
2006-02,4.928,
2006-03,5.081,
2006-04,5.270,
2006-05,4.561,
2006-06,4.456,
2006-07,4.172,
2006-08,4.165,
2006-09,4.640,
2006-10,4.816,
2006-11,5.182,
2006-12,5.892,
2007-01,5.309,
2007-02,5.322,
2007-03,5.618,
2007-04,5.035,
2007-05,4.923,
2007-06,5.062,
2007-07,4.865,
2007-08,4.870,
2007-09,5.481,
2007-10,5.656,
2007-11,5.693,
2007-12,5.504,
2008-01,5.770,
2008-02,5.449,
2008-03,5.827,
2008-04,5.857,
2008-05,5.839,
2008-06,5.973,
2008-07,5.464,
2008-08,5.416,
2008-09,6.503,
2008-10,6.308,
2008-11,6.018,
2008-12,6.859,
2009-01,5.196,
2009-02,4.739,
2009-03,4.903,
2009-04,4.367,
2009-05,4.269,
2009-06,5.108,
2009-07,5.431,
2009-08,5.268,
2009-09,5.852,
2009-10,5.687,
2009-11,5.929,
2009-12,6.081,
2010-01,5.182,
2010-02,5.471,
2010-03,6.385,
2010-04,6.397,
2010-05,6.746,
2010-06,7.125,
2010-07,6.632,
2010-08,6.895,
2010-09,6.664,
2010-10,6.693,
2010-11,6.900,
2010-12,6.957,
2011-01,6.334,
2011-02,6.458,
2011-03,6.795,
2011-04,6.577,
2011-05,6.592,
2011-06,6.635,
2011-07,6.505,
2011-08,6.419,
2011-09,7.002,
2011-10,6.766,
2011-11,7.002,
2011-12,8.794,
2012-01,7.447,
2012-02,7.686,
2012-03,7.356,
2012-04,7.400,
2012-05,7.305,
2012-06,7.598,
2012-07,7.198,
2012-08,6.329,
2012-09,6.846,
2012-10,7.316,
2012-11,7.973,
2012-12,8.860,
2013-01,8.800,
2013-02,8.080,
2013-03,7.046,
2013-04,7.169,
2013-05,7.209,
2013-06,6.820,
2013-07,7.079,
2013-08,6.912,
2013-09,7.020,
2013-10,7.442,
2013-11,7.210,
2013-12,8.413,
2014-01,6.549,
2014-02,6.408,
2014-03,7.190,
2014-04,6.486,
2014-05,6.243,
2014-06,6.609,
2014-07,6.438,
2014-08,6.300,
2014-09,6.737,
2014-10,6.892,
2014-11,6.914,
2014-12,6.248,
