"",BBK01.OEBJ01H,BBK01.OEBJ01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:03,
2002-01,50.471,
2002-04,54.192,
2002-07,53.373,
2002-10,55.176,
2003-01,53.422,
2003-04,56.110,
2003-07,53.737,
2003-10,53.929,
2004-01,56.211,
2004-04,53.805,
2004-07,53.012,
2004-10,52.577,
2005-01,56.732,
2005-04,56.917,
2005-07,59.153,
2005-10,59.073,
2006-01,60.588,
2006-04,61.348,
2006-07,63.519,
2006-10,61.993,
2007-01,65.537,
2007-04,67.597,
2007-07,69.842,
2007-10,72.625,
2008-01,76.822,
2008-04,76.332,
2008-07,81.763,
2008-10,90.255,
2009-01,97.208,
2009-04,94.039,
2009-07,82.910,
2009-10,85.123,
2010-01,81.225,
2010-04,81.729,
2010-07,80.952,
2010-10,81.890,
2011-01,83.068,
2011-04,80.728,
2011-07,97.881,
2011-10,96.408,
2012-01,90.700,
2012-04,88.704,
2012-07,100.888,
2012-10,92.547,
2013-01,93.839,
2013-04,100.422,
2013-07,80.557,
2013-10,77.462,
2014-01,75.663,
2014-04,75.867,
2014-07,77.057,
