"",BBSF2.M.1.P.00000.REN01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:09,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,-,Nothing exists
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,-,Nothing exists
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,-,Nothing exists
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,-,Nothing exists
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,-,Nothing exists
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,-,Nothing exists
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,-,Nothing exists
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,-,Nothing exists
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,-,Nothing exists
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,-,Nothing exists
1965-01,-,Nothing exists
1965-02,-,Nothing exists
1965-03,-,Nothing exists
1965-04,-,Nothing exists
1965-05,-,Nothing exists
1965-06,-,Nothing exists
1965-07,-,Nothing exists
1965-08,-,Nothing exists
1965-09,-,Nothing exists
1965-10,-,Nothing exists
1965-11,-,Nothing exists
1965-12,-,Nothing exists
1966-01,15,
1966-02,8,
1966-03,4,
1966-04,2,
1966-05,2,
1966-06,1,
1966-07,1,
1966-08,1,
1966-09,1,
1966-10,1,
1966-11,2,
1966-12,5,
1967-01,2,
1967-02,2,
1967-03,1,
1967-04,3,
1967-05,2,
1967-06,4,
1967-07,4,
1967-08,3,
1967-09,3,
1967-10,5,
1967-11,8,
1967-12,10,
1968-01,17,
1968-02,12,
1968-03,10,
1968-04,11,
1968-05,20,
1968-06,24,
1968-07,42,
1968-08,46,
1968-09,40,
1968-10,39,
1968-11,51,
1968-12,82,
1969-01,161,
1969-02,125,
1969-03,91,
1969-04,44,
1969-05,62,
1969-06,64,
1969-07,95,
1969-08,41,
1969-09,36,
1969-10,65,
1969-11,38,
1969-12,56,
1970-01,50,
1970-02,25,
1970-03,13,
1970-04,13,
1970-05,3,
1970-06,11,
1970-07,19,
1970-08,7,
1970-09,11,
1970-10,3,
1970-11,14,
1970-12,34,
1971-01,35,
1971-02,11,
1971-03,12,
1971-04,8,
1971-05,7,
1971-06,21,
1971-07,24,
1971-08,14,
1971-09,12,
1971-10,13,
1971-11,33,
1971-12,38,
1972-01,58,
1972-02,85,
1972-03,69,
1972-04,47,
1972-05,43,
1972-06,122,
1972-07,103,
1972-08,147,
1972-09,84,
1972-10,49,
1972-11,68,
1972-12,51,
1973-01,53,
1973-02,54,
1973-03,49,
1973-04,48,
1973-05,-5,
1973-06,19,
1973-07,10,
1973-08,22,
1973-09,6,
1973-10,28,
1973-11,34,
1973-12,2,
1974-01,-9,
1974-02,-38,
1974-03,-72,
1974-04,-28,
1974-05,-22,
1974-06,11,
1974-07,-44,
1974-08,6,
1974-09,-18,
1974-10,-14,
1974-11,15,
1974-12,29,
1975-01,23,
1975-02,45,
1975-03,5,
1975-04,27,
1975-05,19,
1975-06,62,
1975-07,-50,
1975-08,23,
1975-09,-8,
1975-10,2,
1975-11,58,
1975-12,55,
1976-01,78,
1976-02,101,
1976-03,128,
1976-04,83,
1976-05,47,
1976-06,69,
1976-07,37,
1976-08,111,
1976-09,100,
1976-10,103,
1976-11,347,
1976-12,218,
1977-01,302,
1977-02,245,
1977-03,289,
1977-04,231,
1977-05,163,
1977-06,182,
1977-07,219,
1977-08,384,
1977-09,206,
1977-10,193,
1977-11,396,
1977-12,392,
1978-01,557,
1978-02,500,
1978-03,384,
1978-04,209,
1978-05,60,
1978-06,74,
1978-07,-36,
1978-08,258,
1978-09,144,
1978-10,109,
1978-11,223,
1978-12,163,
1979-01,152,
1979-02,185,
1979-03,86,
1979-04,39,
1979-05,-2,
1979-06,57,
1979-07,82,
1979-08,241,
1979-09,54,
1979-10,73,
1979-11,111,
1979-12,63,
1980-01,-12,
1980-02,2,
1980-03,-159,
1980-04,-32,
1980-05,-14,
1980-06,-24,
1980-07,-21,
1980-08,108,
1980-09,-43,
1980-10,-18,
1980-11,-5,
1980-12,-35,
1981-01,-29,
1981-02,-65,
1981-03,-88,
1981-04,-117,
1981-05,-125,
1981-06,-94,
1981-07,-113,
1981-08,-17,
1981-09,-74,
1981-10,-35,
1981-11,90,
1981-12,-18,
1982-01,-19,
1982-02,95,
1982-03,12,
1982-04,47,
1982-05,7,
1982-06,-25,
1982-07,-18,
1982-08,162,
1982-09,64,
1982-10,63,
1982-11,174,
1982-12,120,
1983-01,21,
1983-02,257,
1983-03,185,
1983-04,59,
1983-05,3,
1983-06,-64,
1983-07,-20,
1983-08,124,
1983-09,34,
1983-10,42,
1983-11,159,
1983-12,79,
1984-01,96,
1984-02,318,
1984-03,144,
1984-04,88,
1984-05,38,
1984-06,103,
1984-07,42,
1984-08,242,
1984-09,112,
1984-10,95,
1984-11,685,
1984-12,357,
1985-01,439,
1985-02,476,
1985-03,221,
1985-04,238,
1985-05,304,
1985-06,196,
1985-07,261,
1985-08,580,
1985-09,255,
1985-10,278,
1985-11,675,
1985-12,416,
1986-01,581,
1986-02,781,
1986-03,589,
1986-04,673,
1986-05,391,
1986-06,365,
1986-07,394,
1986-08,783,
1986-09,325,
1986-10,269,
1986-11,585,
1986-12,471,
1987-01,671,
1987-02,698,
1987-03,428,
1987-04,476,
1987-05,525,
1987-06,436,
1987-07,512,
1987-08,654,
1987-09,318,
1987-10,146,
1987-11,443,
1987-12,306,
1988-01,455,
1988-02,1135,
1988-03,618,
1988-04,225,
1988-05,405,
1988-06,674,
1988-07,518,
1988-08,1024,
1988-09,1026,
1988-10,646,
1988-11,1185,
1988-12,1261,
1989-01,1470,
1989-02,1425,
1989-03,861,
1989-04,775,
1989-05,19,
1989-06,315,
1989-07,594,
1989-08,610,
1989-09,262,
1989-10,247,
1989-11,1058,
1989-12,513,
1990-01,389,
1990-02,775,
1990-03,165,
1990-04,56,
1990-05,-22,
1990-06,-43,
1990-07,12,
1990-08,129,
1990-09,130,
1990-10,85,
1990-11,604,
1990-12,93,
1991-01,-149,
1991-02,533,
1991-03,353,
1991-04,631,
1991-05,472,
1991-06,873,
1991-07,-50,
1991-08,100,
1991-09,-3,
1991-10,372,
1991-11,712,
1991-12,426,
1992-01,1535,
1992-02,873,
1992-03,646,
1992-04,187,
1992-05,82,
1992-06,-416,
1992-07,-894,
1992-08,-1308,
1992-09,-1532,
1992-10,-1268,
1992-11,-1547,
1992-12,-2131,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,-145,
1993-05,92,
1993-06,-361,
1993-07,-1156,
1993-08,44,
1993-09,-587,
1993-10,-104,
1993-11,412,
1993-12,210,
1994-01,789,
1994-02,1595,
1994-03,514,
1994-04,203,
1994-05,446,
1994-06,131,
1994-07,293,
1994-08,558,
1994-09,214,
1994-10,-81,
1994-11,603,
1994-12,-61,
1995-01,-38,
1995-02,377,
1995-03,-85,
1995-04,-165,
1995-05,-38,
1995-06,260,
1995-07,51,
1995-08,98,
1995-09,169,
1995-10,-173,
1995-11,847,
1995-12,329,
1996-01,649,
1996-02,61,
1996-03,473,
1996-04,680,
1996-05,231,
1996-06,207,
1996-07,2,
1996-08,140,
1996-09,122,
1996-10,-22,
1996-11,437,
1996-12,56,
1997-01,882,
1997-02,845,
1997-03,32,
1997-04,511,
1997-05,319,
1997-06,216,
1997-07,-85,
1997-08,-99,
1997-09,281,
1997-10,-472,
1997-11,253,
1997-12,616,
1998-01,414,
1998-02,885,
1998-03,605,
1998-04,254,
1998-05,130,
1998-06,162,
1998-07,-241,
1998-08,53,
1998-09,-1885,
1998-10,-1663,
1998-11,813,
1998-12,253,
1999-01,1328,
1999-02,1132,
1999-03,526,
1999-04,707,
1999-05,519,
1999-06,-387,
1999-07,31,
1999-08,127,
1999-09,91,
1999-10,-397,
1999-11,-804,
1999-12,-20,
2000-01,-1549,
2000-02,-1161,
2000-03,444,
2000-04,-684,
2000-05,-991,
2000-06,-79,
2000-07,-619,
2000-08,-511,
2000-09,-1148,
2000-10,-876,
2000-11,-276,
2000-12,-456,
2001-01,121,
2001-02,180,
2001-03,-207,
2001-04,83,
2001-05,-63,
2001-06,-137,
2001-07,317,
2001-08,685,
2001-09,-413,
2001-10,766,
2001-11,1238,
2001-12,263,
2002-01,850,
2002-02,1134,
2002-03,535,
2002-04,19,
2002-05,-71,
2002-06,-509,
2002-07,83,
2002-08,871,
2002-09,-78,
2002-10,-423,
2002-11,507,
2002-12,578,
2003-01,548,
2003-02,1192,
2003-03,466,
2003-04,479,
2003-05,147,
2003-06,565,
2003-07,164,
2003-08,504,
2003-09,-164,
2003-10,-407,
2003-11,-270,
2003-12,949,
2004-01,-1098,
2004-02,-289,
2004-03,2200,
2004-04,18,
2004-05,-462,
2004-06,-241,
2004-07,-893,
2004-08,-43,
2004-09,68,
2004-10,-677,
2004-11,99,
2004-12,664,
2005-01,732,
2005-02,347,
2005-03,1640,
2005-04,1378,
2005-05,1144,
2005-06,-351,
2005-07,920,
2005-08,859,
2005-09,461,
2005-10,-76,
2005-11,-131,
2005-12,-43,
2006-01,97,
2006-02,407,
2006-03,-294,
2006-04,-57,
2006-05,167,
2006-06,-948,
2006-07,-285,
2006-08,-885,
2006-09,-539,
2006-10,-1004,
2006-11,-536,
2006-12,-81,
2007-01,-1139,
2007-02,-488,
2007-03,-417,
2007-04,-1072,
2007-05,-726,
2007-06,-2061,
2007-07,-997,
2007-08,-1109,
2007-09,-678,
2007-10,-744,
2007-11,5,
2007-12,-1271,
2008-01,-819,
2008-02,-300,
2008-03,-945,
2008-04,42,
2008-05,-357,
2008-06,-674,
2008-07,-1634,
2008-08,-913,
2008-09,-791,
2008-10,-2849,
2008-11,-439,
2008-12,288,
2009-01,507,
2009-02,664,
2009-03,-48,
2009-04,950,
2009-05,181,
2009-06,535,
2009-07,927,
2009-08,-469,
2009-09,154,
2009-10,-89,
2009-11,1009,
2009-12,-320,
2010-01,-124,
2010-02,236,
2010-03,535,
2010-04,157,
2010-05,495,
2010-06,449,
2010-07,530,
2010-08,-147,
2010-09,51,
2010-10,-1719,
2010-11,-403,
2010-12,78,
2011-01,-281,
2011-02,-421,
2011-03,-877,
2011-04,-479,
2011-05,-478,
2011-06,79,
2011-07,-11,
2011-08,-93,
2011-09,851,
2011-10,13,
2011-11,-1375,
2011-12,-431,
2012-01,87,
2012-02,-120,
2012-03,-254,
2012-04,-81,
2012-05,613,
2012-06,-161,
2012-07,453,
2012-08,17,
2012-09,-412,
2012-10,15,
2012-11,615,
2012-12,570,
2013-01,-161,
2013-02,1190,
2013-03,-31,
2013-04,234,
2013-05,322,
2013-06,-345,
2013-07,332,
2013-08,-291,
2013-09,-338,
2013-10,-346,
2013-11,-207,
2013-12,-269,
2014-01,-293,
2014-02,36,
2014-03,-236,
2014-04,-37,
2014-05,-86,
2014-06,77,
2014-07,402,
2014-08,185,
2014-09,386,
2014-10,682,
2014-11,430,
