"",BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:43,
1991-01,44.590,
1991-04,-134.694,
1991-07,87.800,
1991-10,409.484,
1992-01,209.550,
1992-04,215.057,
1992-07,144.349,
1992-10,805.410,
1993-01,9.684,
1993-04,147.252,
1993-07,188.735,
1993-10,130.191,
1994-01,695.673,
1994-04,291.018,
1994-07,927.109,
1994-10,88.031,
1995-01,-363.756,
1995-04,110.174,
1995-07,-17.802,
1995-10,365.011,
1996-01,-414.262,
1996-04,405.255,
1996-07,-296.711,
1996-10,-592.353,
1997-01,-512.064,
1997-04,36.952,
1997-07,-225.066,
1997-10,71.365,
1998-01,-66.857,
1998-04,-467.994,
1998-07,-54.900,
1998-10,706.919,
1999-01,365.235,
1999-04,258.849,
1999-07,-326.400,
1999-10,65.172,
2000-01,-552.463,
2000-04,-152.697,
2000-07,123.353,
2000-10,-76.397,
2001-01,-519.669,
2001-04,499.495,
2001-07,-860.027,
2001-10,267.041,
2002-01,1.485,
2002-04,831.255,
2002-07,-636.620,
2002-10,485.561,
2003-01,-28.423,
2003-04,-300.491,
2003-07,298.481,
2003-10,472.834,
2004-01,572.894,
2004-04,377.232,
2004-07,130.870,
2004-10,671.008,
2005-01,-1620.045,
2005-04,475.995,
2005-07,633.724,
2005-10,183.799,
2006-01,95.893,
2006-04,233.547,
2006-07,-211.721,
2006-10,-85.279,
2007-01,246.846,
2007-04,604.446,
2007-07,619.688,
2007-10,1404.115,
2008-01,-305.086,
2008-04,829.509,
2008-07,1310.078,
2008-10,-490.418,
2009-01,-971.556,
2009-04,-946.298,
2009-07,-321.300,
2009-10,44.529,
2010-01,180.890,
2010-04,263.072,
2010-07,377.398,
2010-10,258.218,
2011-01,-541.858,
2011-04,-1188.912,
2011-07,-567.631,
2011-10,-147.968,
2012-01,1345.688,
2012-04,-1522.975,
2012-07,-426.579,
2012-10,284.106,
2013-01,870.054,
2013-04,1609.025,
2013-07,-62.923,
2013-10,-614.620,
2014-01,-944.734,Provisional value
2014-04,865.697,Provisional value
2014-07,-449.000,Provisional value
2014-10,-715.233,Provisional value
