"",BBSF2.M.1.S.00000.AKT01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.AKT01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Equity funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:21,
2009-09,19909,
2009-10,19982,
2009-11,19228,
2009-12,19325,
2010-01,17891,
2010-02,17503,
2010-03,17734,
2010-04,17770,
2010-05,17791,
2010-06,17871,
2010-07,18033,
2010-08,18405,
2010-09,17244,
2010-10,17943,
2010-11,17601,
2010-12,16926,
2011-01,15942,
2011-02,16312,
2011-03,16458,
2011-04,16512,
2011-05,16732,
2011-06,16735,
2011-07,16788,
2011-08,16695,
2011-09,16542,
2011-10,16026,
2011-11,15936,
2011-12,16672,
2012-01,17592,
2012-02,18112,
2012-03,18010,
2012-04,17970,
2012-05,18064,
2012-06,17833,
2012-07,18205,
2012-08,17880,
2012-09,17779,
2012-10,17925,
2012-11,18396,
2012-12,18767,
2013-01,18730,
2013-02,18998,
2013-03,19633,
2013-04,20477,
2013-05,20374,
2013-06,20129,
2013-07,20139,
2013-08,20428,
2013-09,20391,
2013-10,20452,
2013-11,20387,
2013-12,20025,
2014-01,20500,
2014-02,20620,
2014-03,20669,
2014-04,25069,
2014-05,25276,
2014-06,25204,
2014-07,25683,
2014-08,26141,
2014-09,26141,
2014-10,21194,
2014-11,21021,
