"",BBK01.OECB01V,BBK01.OECB01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:19,
2002-01,8.049,
2002-04,8.041,
2002-07,8.023,
2002-10,7.841,
2003-01,7.534,
2003-04,7.465,
2003-07,7.590,
2003-10,7.345,
2004-01,7.174,
2004-04,7.432,
2004-07,7.489,
2004-10,6.902,
2005-01,7.997,
2005-04,7.907,
2005-07,7.869,
2005-10,7.626,
2006-01,7.540,
2006-04,7.525,
2006-07,7.528,
2006-10,7.522,
2007-01,7.345,
2007-04,7.305,
2007-07,7.285,
2007-10,7.308,
2008-01,7.335,
2008-04,7.477,
2008-07,7.590,
2008-10,7.443,
2009-01,7.341,
2009-04,11.066,
2009-07,10.843,
2009-10,10.635,
2010-01,10.415,
2010-04,10.263,
2010-07,8.353,
2010-10,8.099,
2011-01,8.615,
2011-04,8.577,
2011-07,8.536,
2011-10,8.342,
2012-01,8.256,
2012-04,8.109,
2012-07,8.175,
2012-10,8.135,
2013-01,8.213,
2013-04,8.034,
2013-07,8.167,
2013-10,8.334,
2014-01,8.383,
2014-04,8.617,
2014-07,8.338,
