"",BBFB1.Q.N.DE.ES.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:53,
1991-01,952.956,
1991-04,1336.348,
1991-07,1582.623,
1991-10,1319.623,
1992-01,987.925,
1992-04,1437.368,
1992-07,1642.182,
1992-10,1414.026,
1993-01,1003.968,
1993-04,1467.053,
1993-07,1611.025,
1993-10,1419.004,
1994-01,1119.046,
1994-04,1578.487,
1994-07,1817.904,
1994-10,1566.904,
1995-01,1194.703,
1995-04,1750.492,
1995-07,1951.987,
1995-10,1666.826,
1996-01,1254.319,
1996-04,1766.114,
1996-07,2047.533,
1996-10,1714.714,
1997-01,1498.333,
1997-04,1912.459,
1997-07,2165.457,
1997-10,1856.459,
1998-01,1392.050,
1998-04,1987.556,
1998-07,2365.304,
1998-10,1988.277,
1999-01,1681.789,
1999-04,2568.897,
1999-07,2919.264,
1999-10,2491.267,
2000-01,1815.353,
2000-04,2768.039,
2000-07,3113.120,
2000-10,2638.916,
2001-01,1790.240,
2001-04,2630.133,
2001-07,3014.274,
2001-10,2553.379,
2002-01,2167.141,
2002-04,2577.798,
2002-07,2888.412,
2002-10,2315.435,
2003-01,1788.616,
2003-04,2511.614,
2003-07,3096.260,
2003-10,2360.220,
2004-01,1844.993,
2004-04,2286.137,
2004-07,2855.606,
2004-10,2429.126,
2005-01,1880.677,
2005-04,2411.437,
2005-07,2949.479,
2005-10,2098.911,
2006-01,1797.053,
2006-04,2692.537,
2006-07,2854.115,
2006-10,2064.645,
2007-01,1963.666,
2007-04,2535.103,
2007-07,3145.522,
2007-10,2165.507,
2008-01,1765.938,
2008-04,2772.666,
2008-07,3150.058,
2008-10,2336.371,
2009-01,1862.312,
2009-04,2359.105,
2009-07,2961.879,
2009-10,2196.947,
2010-01,1799.027,
2010-04,2526.358,
2010-07,3176.825,
2010-10,2374.399,
2011-01,1730.780,
2011-04,2638.901,
2011-07,3435.413,
2011-10,2427.539,
2012-01,1941.345,
2012-04,2688.601,
2012-07,3230.368,
2012-10,2298.243,
2013-01,2055.753,
2013-04,2828.426,
2013-07,3647.853,
2013-10,3069.344,
2014-01,2109.821,Provisional value
2014-04,3027.301,Provisional value
2014-07,3799.980,Provisional value
