"",BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:45,
1991-01,0.800,
1991-04,4.726,
1991-07,101.157,
1991-10,2.424,
1992-01,-26.372,
1992-04,-31.758,
1992-07,-31.371,
1992-10,-30.390,
1993-01,-14.417,
1993-04,-24.043,
1993-07,-15.215,
1993-10,-23.907,
1994-01,5.748,
1994-04,0.745,
1994-07,0.115,
1994-10,-73.649,
1995-01,0.067,
1995-04,5.430,
1995-07,8.314,
1995-10,0.311,
1996-01,36.199,
1996-04,61.084,
1996-07,-80.557,
1996-10,26.974,
1997-01,27.268,
1997-04,-1.555,
1997-07,-69.422,
1997-10,-30.473,
1998-01,50.786,
1998-04,44.576,
1998-07,-107.734,
1998-10,0.505,
1999-01,23.897,
1999-04,35.293,
1999-07,-66.933,
1999-10,35.400,
2000-01,-33.510,
2000-04,57.547,
2000-07,-13.626,
2000-10,57.077,
2001-01,-101.205,
2001-04,-35.589,
2001-07,29.268,
2001-10,-232.619,
2002-01,4.158,
2002-04,39.588,
2002-07,12.943,
2002-10,-3.744,
2003-01,58.024,
2003-04,37.265,
2003-07,-278.751,
2003-10,1.655,
2004-01,55.391,
2004-04,-448.910,
2004-07,37.450,
2004-10,53.424,
2005-01,41.676,
2005-04,154.309,
2005-07,148.279,
2005-10,270.003,
2006-01,64.610,
2006-04,20.955,
2006-07,-19.742,
2006-10,118.803,
2007-01,69.876,
2007-04,358.660,
2007-07,394.215,
2007-10,235.263,
2008-01,271.808,
2008-04,245.711,
2008-07,-46.868,
2008-10,201.173,
2009-01,468.412,
2009-04,-13.707,
2009-07,508.070,
2009-10,4189.676,
2010-01,-42.837,
2010-04,237.349,
2010-07,133.521,
2010-10,-3.154,
2011-01,139.033,
2011-04,-486.425,
2011-07,95.151,
2011-10,437.164,
2012-01,-331.613,
2012-04,-521.398,
2012-07,-13.356,
2012-10,-441.419,
2013-01,217.163,
2013-04,-1209.505,
2013-07,584.675,
2013-10,-508.635,
2014-01,5.686,Provisional value
2014-04,-12.700,Provisional value
2014-07,-265.297,Provisional value
2014-10,-17.445,Provisional value
