"",BBSF2.M.1.S.I0000.IMM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.IMM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Number / Domestic investors total / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:51:48,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,8,
1993-05,8,
1993-06,8,
1993-07,8,
1993-08,8,
1993-09,8,
1993-10,8,
1993-11,8,
1993-12,8,
1994-01,8,
1994-02,8,
1994-03,8,
1994-04,8,
1994-05,8,
1994-06,8,
1994-07,9,
1994-08,9,
1994-09,9,
1994-10,9,
1994-11,9,
1994-12,9,
1995-01,9,
1995-02,9,
1995-03,9,
1995-04,9,
1995-05,9,
1995-06,9,
1995-07,9,
1995-08,9,
1995-09,9,
1995-10,9,
1995-11,9,
1995-12,9,
1996-01,10,
1996-02,10,
1996-03,10,
1996-04,11,
1996-05,11,
1996-06,11,
1996-07,11,
1996-08,11,
1996-09,11,
1996-10,11,
1996-11,11,
1996-12,11,
1997-01,11,
1997-02,11,
1997-03,11,
1997-04,11,
1997-05,11,
1997-06,12,
1997-07,12,
1997-08,12,
1997-09,13,
1997-10,13,
1997-11,13,
1997-12,14,
1998-01,15,
1998-02,15,
1998-03,15,
1998-04,15,
1998-05,15,
1998-06,15,
1998-07,15,
1998-08,15,
1998-09,15,
1998-10,15,
1998-11,17,
1998-12,19,
1999-01,19,
1999-02,19,
1999-03,19,
1999-04,19,
1999-05,19,
1999-06,19,
1999-07,20,
1999-08,20,
1999-09,21,
1999-10,24,
1999-11,25,
1999-12,27,
2000-01,28,
2000-02,28,
2000-03,28,
2000-04,29,
2000-05,30,
2000-06,30,
2000-07,31,
2000-08,32,
2000-09,33,
2000-10,35,
2000-11,36,
2000-12,37,
2001-01,38,
2001-02,38,
2001-03,38,
2001-04,38,
2001-05,38,
2001-06,38,
2001-07,39,
2001-08,40,
2001-09,40,
2001-10,41,
2001-11,43,
2001-12,45,
2002-01,44,
2002-02,47,
2002-03,49,
2002-04,50,
2002-05,50,
2002-06,51,
2002-07,51,
2002-08,52,
2002-09,52,
2002-10,52,
2002-11,54,
2002-12,55,
2003-01,55,
2003-02,55,
2003-03,56,
2003-04,56,
2003-05,56,
2003-06,60,
2003-07,61,
2003-08,61,
2003-09,61,
2003-10,61,
2003-11,62,
2003-12,67,
2004-01,67,
2004-02,68,
2004-03,70,
2004-04,70,
2004-05,70,
2004-06,72,
2004-07,75,
2004-08,75,
2004-09,76,
2004-10,75,
2004-11,77,
2004-12,81,
2005-01,83,
2005-02,83,
2005-03,85,
2005-04,85,
2005-05,85,
2005-06,87,
2005-07,88,
2005-08,90,
2005-09,91,
2005-10,91,
2005-11,93,
2005-12,96,
2006-01,95,
2006-02,95,
2006-03,95,
2006-04,95,
2006-05,98,
2006-06,98,
2006-07,98,
2006-08,100,
2006-09,101,
2006-10,101,
2006-11,103,
2006-12,105,
2007-01,105,
2007-02,105,
2007-03,106,
2007-04,107,
2007-05,111,
2007-06,111,
2007-07,111,
2007-08,112,
2007-09,111,
2007-10,113,
2007-11,113,
2007-12,113,
2008-01,113,
2008-02,112,
2008-03,113,
2008-04,113,
2008-05,113,
2008-06,114,
2008-07,114,
2008-08,115,
2008-09,116,
2008-10,116,
2008-11,119,
2008-12,120,
2009-01,121,
2009-02,122,
2009-03,122,
2009-04,122,
2009-05,123,
2009-06,125,
2009-07,126,
2009-08,127,
2009-09,127,
2009-10,128,
2009-11,129,
2009-12,130,
2010-01,134,
2010-02,134,
2010-03,134,
2010-04,136,
2010-05,136,
2010-06,137,
2010-07,136,
2010-08,137,
2010-09,139,
2010-10,143,
2010-11,144,
2010-12,147,
2011-01,148,
2011-02,149,
2011-03,150,
2011-04,151,
2011-05,152,
2011-06,156,
2011-07,159,
2011-08,159,
2011-09,152,
2011-10,153,
2011-11,157,
2011-12,159,
2012-01,165,
2012-02,165,
2012-03,169,
2012-04,176,
2012-05,179,
2012-06,181,
2012-07,183,
2012-08,224,
2012-09,258,
2012-10,341,
2012-11,341,
2012-12,344,
2013-01,345,
2013-02,347,
2013-03,347,
2013-04,337,
2013-05,343,
2013-06,324,
2013-07,333,
2013-08,322,
2013-09,330,
2013-10,331,
2013-11,324,
2013-12,324,
2014-01,322,
2014-02,317,
2014-03,314,
2014-04,313,
2014-05,307,
2014-06,308,
2014-07,311,
2014-08,309,
2014-09,308,
2014-10,307,
2014-11,310,
