"",BBK01.OEXL02M,BBK01.OEXL02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:55,
2002-01,5.457,
2002-04,5.517,
2002-07,5.536,
2002-10,6.013,
2003-01,6.249,
2003-04,6.655,
2003-07,6.936,
2003-10,7.213,
2004-01,7.579,
2004-04,7.597,
2004-07,7.681,
2004-10,7.702,
2005-01,8.032,
2005-04,8.068,
2005-07,8.357,
2005-10,8.242,
2006-01,8.371,
2006-04,8.405,
2006-07,8.129,
2006-10,7.937,
2007-01,7.815,
2007-04,8.024,
2007-07,7.777,
2007-10,7.870,
2008-01,8.439,
2008-04,8.753,
2008-07,8.378,
2008-10,8.235,
2009-01,10.982,
2009-04,12.189,
2009-07,11.890,
2009-10,12.372,
2010-01,12.801,
2010-04,13.364,
2010-07,13.516,
2010-10,13.846,
2011-01,14.287,
2011-04,14.582,
2011-07,15.478,
2011-10,15.527,
2012-01,15.515,
2012-04,16.019,
2012-07,16.450,
2012-10,16.669,
2013-01,17.084,
2013-04,17.971,
2013-07,18.467,
2013-10,18.120,
2014-01,18.179,
2014-04,19.204,
2014-07,19.805,
