"",BBK01.OEAD10N,BBK01.OEAD10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:26,
2002-01,4.366,
2002-04,4.384,
2002-07,4.256,
2002-10,4.252,
2003-01,4.067,
2003-04,4.006,
2003-07,4.010,
2003-10,4.034,
2004-01,3.853,
2004-04,3.798,
2004-07,3.789,
2004-10,3.680,
2005-01,3.561,
2005-04,3.536,
2005-07,3.428,
2005-10,3.374,
2006-01,3.369,
2006-04,3.276,
2006-07,3.359,
2006-10,3.312,
2007-01,3.327,
2007-04,3.262,
2007-07,3.278,
2007-10,3.380,
2008-01,3.440,
2008-04,3.440,
2008-07,3.363,
2008-10,3.425,
2009-01,3.500,
2009-04,3.380,
2009-07,3.305,
2009-10,3.131,
2010-01,3.237,
2010-04,3.249,
2010-07,3.336,
2010-10,3.360,
2011-01,3.398,
2011-04,3.378,
2011-07,3.433,
2011-10,3.312,
2012-01,3.346,
2012-04,3.375,
2012-07,3.242,
2012-10,3.188,
2013-01,3.150,
2013-04,3.235,
2013-07,3.098,
2013-10,3.011,
2014-01,2.979,
2014-04,3.020,
2014-07,2.877,
