"",BBK01.OECM04K,BBK01.OECM04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:42,
2002-01,0.052,
2002-04,0.125,
2002-07,0.104,
2002-10,0.086,
2003-01,0.036,
2003-04,0.084,
2003-07,0.084,
2003-10,0.112,
2004-01,0.013,
2004-04,0.132,
2004-07,0.068,
2004-10,0.070,
2005-01,0.049,
2005-04,0.180,
2005-07,0.091,
2005-10,0.061,
2006-01,0.042,
2006-04,0.233,
2006-07,0.050,
2006-10,0.180,
2007-01,0.181,
2007-04,0.295,
2007-07,0.206,
2007-10,0.417,
2008-01,0.246,
2008-04,0.357,
2008-07,0.256,
2008-10,0.427,
2009-01,0.325,
2009-04,0.362,
2009-07,0.370,
2009-10,0.207,
2010-01,0.154,
2010-04,0.152,
2010-07,0.135,
2010-10,0.058,
2011-01,0.058,
2011-04,0.243,
2011-07,0.269,
2011-10,0.379,
2012-01,0.445,
2012-04,0.716,
2012-07,0.690,
2012-10,0.882,
2013-01,0.697,
2013-04,1.150,
2013-07,1.164,
2013-10,1.033,
2014-01,0.853,
2014-04,1.102,
2014-07,1.421,
