"",BBK01.OEHJ02H,BBK01.OEHJ02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:19,
2002-01,3.577,
2002-04,3.716,
2002-07,3.839,
2002-10,4.383,
2003-01,4.000,
2003-04,4.191,
2003-07,4.489,
2003-10,5.042,
2004-01,4.843,
2004-04,5.008,
2004-07,5.266,
2004-10,5.585,
2005-01,5.431,
2005-04,5.808,
2005-07,6.080,
2005-10,6.524,
2006-01,5.952,
2006-04,5.970,
2006-07,6.257,
2006-10,6.700,
2007-01,6.118,
2007-04,6.512,
2007-07,6.597,
2007-10,6.807,
2008-01,6.395,
2008-04,6.650,
2008-07,6.865,
2008-10,7.559,
2009-01,8.304,
2009-04,9.271,
2009-07,10.920,
2009-10,12.123,
2010-01,11.740,
2010-04,12.087,
2010-07,12.972,
2010-10,13.313,
2011-01,12.680,
2011-04,12.421,
2011-07,13.018,
2011-10,13.633,
2012-01,13.588,
2012-04,14.415,
2012-07,15.764,
2012-10,16.234,
2013-01,15.642,
2013-04,15.873,
2013-07,16.854,
2013-10,17.214,
2014-01,16.803,
2014-04,17.441,
2014-07,17.866,
