"",BBK01.OEAA55V,BBK01.OEAA55V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:23,
2002-01,6.205,
2002-04,5.820,
2002-07,6.162,
2002-10,6.075,
2003-01,5.918,
2003-04,5.958,
2003-07,5.967,
2003-10,5.681,
2004-01,5.866,
2004-04,5.913,
2004-07,5.761,
2004-10,5.144,
2005-01,5.094,
2005-04,5.387,
2005-07,5.331,
2005-10,5.320,
2006-01,5.013,
2006-04,4.751,
2006-07,4.755,
2006-10,4.585,
2007-01,4.455,
2007-04,4.298,
2007-07,4.545,
2007-10,4.306,
2008-01,3.951,
2008-04,0.539,
2008-07,0.533,
2008-10,0.475,
2009-01,0.471,
2009-04,0.529,
2009-07,0.553,
2009-10,2.066,
2010-01,2.115,
2010-04,0.919,
2010-07,0.641,
2010-10,0.671,
2011-01,0.686,
2011-04,0.696,
2011-07,1.422,
2011-10,1.321,
2012-01,1.347,
2012-04,1.341,
2012-07,1.301,
2012-10,1.046,
2013-01,1.017,
2013-04,0.995,
2013-07,1.077,
2013-10,0.952,
2014-01,1.194,
2014-04,1.303,
2014-07,1.339,
