"",BBK01.OEAA42T,BBK01.OEAA42T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:33,
2002-01,0.195,
2002-04,0.225,
2002-07,0.235,
2002-10,0.230,
2003-01,0.250,
2003-04,0.270,
2003-07,0.314,
2003-10,0.335,
2004-01,0.358,
2004-04,0.381,
2004-07,0.448,
2004-10,0.468,
2005-01,0.461,
2005-04,0.536,
2005-07,0.612,
2005-10,0.621,
2006-01,0.665,
2006-04,0.702,
2006-07,0.721,
2006-10,0.724,
2007-01,0.831,
2007-04,0.867,
2007-07,0.831,
2007-10,0.935,
2008-01,0.951,
2008-04,0.924,
2008-07,0.865,
2008-10,0.948,
2009-01,0.641,
2009-04,0.577,
2009-07,0.514,
2009-10,0.582,
2010-01,0.505,
2010-04,0.329,
2010-07,0.372,
2010-10,0.316,
2011-01,0.360,
2011-04,0.311,
2011-07,0.341,
2011-10,0.318,
2012-01,0.367,
2012-04,0.322,
2012-07,0.360,
2012-10,0.383,
2013-01,0.393,
2013-04,0.371,
2013-07,0.460,
2013-10,0.429,
2014-01,0.883,
2014-04,0.891,
2014-07,0.971,
