"",BBK01.OECB19J,BBK01.OECB19J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:15,
2002-01,0.043,
2002-04,0.041,
2002-07,0.039,
2002-10,0.036,
2003-01,0.038,
2003-04,0.037,
2003-07,0.036,
2003-10,0.034,
2004-01,0.033,
2004-04,0.034,
2004-07,0.033,
2004-10,0.031,
2005-01,0.036,
2005-04,0.033,
2005-07,0.034,
2005-10,0.036,
2006-01,0.035,
2006-04,0.035,
2006-07,0.033,
2006-10,0.031,
2007-01,0.028,
2007-04,0.028,
2007-07,0.028,
2007-10,0.028,
2008-01,0.026,
2008-04,0.025,
2008-07,0.022,
2008-10,0.020,
2009-01,0.020,
2009-04,0.021,
2009-07,0.021,
2009-10,0.020,
2010-01,0.019,
2010-04,0.022,
2010-07,0.027,
2010-10,0.028,
2011-01,0.027,
2011-04,0.025,
2011-07,0.027,
2011-10,0.030,
2012-01,0.030,
2012-04,0.028,
2012-07,0.027,
2012-10,0.027,
2013-01,0.026,
2013-04,0.025,
2013-07,0.022,
2013-10,0.020,
2014-01,0.020,
2014-04,0.020,
2014-07,0.020,
