"",BBK01.OEAC01R,BBK01.OEAC01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:32,
2002-01,9.717,
2002-04,9.709,
2002-07,9.795,
2002-10,9.871,
2003-01,9.925,
2003-04,9.857,
2003-07,9.777,
2003-10,9.713,
2004-01,9.586,
2004-04,9.578,
2004-07,9.508,
2004-10,9.417,
2005-01,9.326,
2005-04,9.290,
2005-07,9.209,
2005-10,9.030,
2006-01,8.996,
2006-04,9.079,
2006-07,8.991,
2006-10,9.016,
2007-01,8.986,
2007-04,8.704,
2007-07,8.617,
2007-10,8.736,
2008-01,8.998,
2008-04,9.011,
2008-07,8.996,
2008-10,9.286,
2009-01,9.343,
2009-04,9.560,
2009-07,9.567,
2009-10,9.871,
2010-01,10.010,
2010-04,10.150,
2010-07,10.259,
2010-10,10.305,
2011-01,10.514,
2011-04,10.653,
2011-07,10.703,
2011-10,10.965,
2012-01,11.115,
2012-04,11.702,
2012-07,11.936,
2012-10,12.189,
2013-01,12.333,
2013-04,12.487,
2013-07,12.573,
2013-10,12.816,
2014-01,12.970,
2014-04,12.969,
2014-07,12.960,
