"",BBFN1.M.DE.N.1.A.PE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Peru,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:08,
1994-07,0.067,
1994-08,0.067,
1994-09,0.069,
1994-10,0.076,
1994-11,0.074,
1994-12,0.072,
1995-01,0.077,
1995-02,0.079,
1995-03,0.075,
1995-04,0.081,
1995-05,0.084,
1995-06,0.085,
1995-07,0.096,
1995-08,0.089,
1995-09,0.089,
1995-10,0.088,
1995-11,0.082,
1995-12,0.083,
1996-01,0.081,
1996-02,0.077,
1996-03,0.075,
1996-04,0.077,
1996-05,0.083,
1996-06,0.083,
1996-07,0.082,
1996-08,0.075,
1996-09,0.087,
1996-10,0.080,
1996-11,0.081,
1996-12,0.078,
1997-01,0.077,
1997-02,0.081,
1997-03,0.080,
1997-04,0.085,
1997-05,0.089,
1997-06,0.096,
1997-07,0.096,
1997-08,0.095,
1997-09,0.091,
1997-10,0.098,
1997-11,0.098,
1997-12,0.111,
1998-01,0.091,
1998-02,0.089,
1998-03,0.111,
1998-04,0.116,
1998-05,0.114,
1998-06,0.108,
1998-07,0.102,
1998-08,0.102,
1998-09,0.108,
1998-10,0.106,
1998-11,0.099,
1998-12,0.100,
1999-01,0.092,
1999-02,0.093,
1999-03,0.103,
1999-04,0.101,
1999-05,0.100,
1999-06,0.096,
1999-07,0.106,
1999-08,0.099,
1999-09,0.087,
1999-10,0.087,
1999-11,0.094,
1999-12,0.100,
2000-01,0.101,
2000-02,0.100,
2000-03,0.104,
2000-04,0.105,
2000-05,0.110,
2000-06,0.120,
2000-07,0.120,
2000-08,0.106,
2000-09,0.096,
2000-10,0.099,
2000-11,0.096,
2000-12,0.098,
2001-01,0.087,
2001-02,0.090,
2001-03,0.099,
2001-04,0.098,
2001-05,0.098,
2001-06,0.094,
2001-07,0.097,
2001-08,0.094,
2001-09,0.095,
2001-10,0.093,
2001-11,0.089,
2001-12,0.086,
2002-01,0.093,
2002-02,0.089,
2002-03,0.095,
2002-04,0.090,
2002-05,0.091,
2002-06,0.092,
2002-07,0.090,
2002-08,0.090,
2002-09,0.092,
2002-10,0.092,
2002-11,0.089,
2002-12,0.094,
2003-01,0.086,
2003-02,0.089,
2003-03,0.090,
2003-04,0.088,
2003-05,0.094,
2003-06,0.089,
2003-07,0.087,
2003-08,0.085,
2003-09,0.078,
2003-10,0.080,
2003-11,0.079,
2003-12,0.081,
2004-01,0.087,
2004-02,0.082,
2004-03,0.086,
2004-04,0.085,
2004-05,0.086,
2004-06,0.085,
2004-07,0.087,
2004-08,0.090,
2004-09,0.089,
2004-10,0.089,
2004-11,0.087,
2004-12,0.087,
2005-01,0.085,
2005-02,0.084,
2005-03,0.092,
2005-04,0.090,
2005-05,0.091,
2005-06,0.097,
2005-07,0.096,
2005-08,0.096,
2005-09,0.100,
2005-10,0.108,
2005-11,0.109,
2005-12,0.112,
2006-01,0.109,
2006-02,0.109,
2006-03,0.111,
2006-04,0.116,
2006-05,0.117,
2006-06,0.122,
2006-07,0.123,
2006-08,0.117,
2006-09,0.130,
2006-10,0.122,
2006-11,0.121,
2006-12,0.131,
2007-01,0.125,
2007-02,0.124,
2007-03,0.137,
2007-04,0.137,
2007-05,0.137,
2007-06,0.133,
2007-07,0.143,
2007-08,0.148,
2007-09,0.140,
2007-10,0.132,
2007-11,0.134,
2007-12,0.137,
2008-01,0.126,
2008-02,0.134,
2008-03,0.147,
2008-04,0.156,
2008-05,0.157,
2008-06,0.151,
2008-07,0.155,
2008-08,0.165,
2008-09,0.165,
2008-10,0.160,
2008-11,0.163,
2008-12,0.162,
2009-01,0.161,
2009-02,0.152,
2009-03,0.143,
2009-04,0.140,
2009-05,0.135,
2009-06,0.126,
2009-07,0.145,
2009-08,0.133,
2009-09,0.126,
2009-10,0.135,
2009-11,0.145,
2009-12,0.156,
2010-01,0.147,
2010-02,0.155,
2010-03,0.168,
2010-04,0.166,
2010-05,0.173,
2010-06,0.201,
2010-07,0.202,
2010-08,0.195,
2010-09,0.187,
2010-10,0.184,
2010-11,0.182,
2010-12,0.179,
2011-01,0.184,
2011-02,0.189,
2011-03,0.192,
2011-04,0.209,
2011-05,0.204,
2011-06,0.212,
2011-07,0.219,
2011-08,0.222,
2011-09,0.232,
2011-10,0.237,
2011-11,0.231,
2011-12,0.223,
2012-01,0.218,
2012-02,0.244,
2012-03,0.244,
2012-04,0.227,
2012-05,0.243,
2012-06,0.246,
2012-07,0.232,
2012-08,0.246,
2012-09,0.246,
2012-10,0.236,
2012-11,0.243,
2012-12,0.251,
2013-01,0.244,
2013-02,0.255,
2013-03,0.258,
2013-04,0.270,
2013-05,0.266,
2013-06,0.284,
2013-07,0.280,
2013-08,0.279,
2013-09,0.295,
2013-10,0.287,
2013-11,0.309,
2013-12,0.252,
2014-01,0.310,
2014-02,0.315,
2014-03,0.324,
2014-04,0.312,
2014-05,0.308,
2014-06,0.334,
2014-07,0.341,
2014-08,0.332,
2014-09,0.346,
2014-10,0.364,
2014-11,0.344,
2014-12,0.333,
