"",BBEX3.M.LRD.EUR.CA.AC.A01,BBEX3.M.LRD.EUR.CA.AC.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Liberia  / EUR 1 = LRD ... (middle),
unit,LRD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:53,
2000-01,40.63265,
2000-02,40.19170,
2000-03,40.60025,
2000-04,37.70275,
2000-05,38.60745,
2000-06,39.41850,
2000-07,38.12740,
2000-08,37.85050,
2000-09,36.37475,
2000-10,34.72015,
2000-11,33.43340,
2000-12,39.77888,
2001-01,42.28315,
2001-02,41.15360,
2001-03,40.18560,
2001-04,43.04860,
2001-05,43.67200,
2001-06,46.21600,
2001-07,50.34125,
2001-08,45.33210,
2001-09,45.19845,
2001-10,43.85370,
2001-11,39.59610,
2001-12,43.62435,
2002-01,45.77610,
2002-02,48.01305,
2002-03,51.03540,
2002-04,56.30000,
2002-05,60.54615,
2002-06,69.82500,
2002-07,68.97015,
2002-08,69.56848,
2002-09,68.52700,
2002-10,56.71800,
2002-11,55.09485,
2002-12,68.16550,
2003-01,70.84480,
2003-02,66.30930,
2003-03,68.09375,
2003-04,72.07323,
2003-05,79.79850,
2003-06,84.55980,
2003-07,82.62140,
2003-08,62.28390,
2003-09,57.09480,
2003-10,49.97460,
2003-11,50.97450,
2003-12,63.78150,
2004-01,67.49280,
2004-02,67.67810,
2004-03,66.62080,
2004-04,65.11115,
2004-05,68.91870,
2004-06,69.89125,
2004-07,71.03010,
2004-08,70.84935,
2004-09,67.62905,
2004-10,68.14295,
2004-11,69.79875,
2004-12,74.23445,
2005-01,73.64775,
2005-02,76.22775,
2005-03,73.57070,
2005-04,74.50275,
2005-05,72.13635,
2005-06,70.73820,
2005-07,71.95335,
2005-08,72.57810,
2005-09,69.24150,
2005-10,65.52535,
2005-11,64.14105,
2005-12,66.65305,
2006-01,69.67850,
2006-02,67.39065,
2006-03,68.69020,
2006-04,72.08775,
2006-05,73.99100,
2006-06,75.64235,
2006-07,75.96365,
2006-08,77.74855,
2006-09,75.32700,
2006-10,75.54120,
2006-11,75.24000,
2006-12,78.36150,
2007-01,79.34325,
2007-02,79.92655,
2007-03,81.57275,
2007-04,83.67075,
2007-05,84.08125,
2007-06,84.40625,
2007-07,84.98345,
2007-08,85.65625,
2007-09,87.20085,
2007-10,88.84905,
2007-11,90.78015,
2007-12,92.00625,
2008-01,94.05275,
2008-02,94.79375,
2008-03,99.02265,
2008-04,97.90200,
2008-05,98.47580,
2008-06,100.10140,
2008-07,99.12985,
2008-08,93.56725,
2008-09,90.82405,
2008-10,81.00695,
2008-11,80.49830,
2008-12,89.06885,
2009-01,82.66320,
2009-02,82.18600,
2009-03,87.16740,
2009-04,88.27875,
2009-05,99.39090,
2009-06,99.64470,
2009-07,101.08670,
2009-08,103.47200,
2009-09,105.42965,
2009-10,104.34000,
2009-11,101.40525,
2009-12,100.12170,
2010-01,99.85690,
2010-02,97.70400,
2010-03,96.37485,
2010-04,93.87075,
2010-05,87.99505,
2010-06,88.65800,
2010-07,94.45300,
2010-08,91.93000,
2010-09,98.94800,
2010-10,99.42400,
2010-11,90.33610,
2010-12,95.53830,
2011-01,99.26700,
2011-02,99.95065,
2011-03,102.29045,
2011-04,107.73500,
2011-05,104.29125,
2011-06,105.50695,
2011-07,103.38500,
2011-08,104.76250,
2011-09,97.22165,
2011-10,100.80725,
2011-11,95.93870,
2011-12,93.16085,
2012-01,96.84360,
2012-02,98.80605,
2012-03,98.83440,
2012-04,98.44430,comment
2012-05,94.26285,
2012-06,94.42500,
2012-07,90.28740,
2012-08,92.69085,
2012-09,94.38900,
2012-10,94.19925,
2012-11,94.14850,
2012-12,95.65650,
2013-01,100.94750,
2013-02,97.81105,
2013-03,95.39725,
2013-04,98.04000,
2013-05,98.84560,
2013-06,100.06200,
2013-07,102.88125,
2013-08,105.21825,
2013-09,108.04005,
2013-10,110.49215,
2013-11,110.92965,
2013-12,113.77575,
2014-01,108.80380,
2014-02,115.33855,
2014-03,117.88740,
2014-04,121.18750,
2014-05,117.70055,
2014-06,123.60490,
2014-07,110.37675,
2014-08,111.43860,
2014-09,106.32635,
2014-10,105.82780,
2014-11,104.23305,
2014-12,100.16325,
2015-01,95.52725,
"","Source: Central Bank of Liberia, Monrovia",
"","Methodology: From December 2000 to December 2005, the comparable rates for the euro were calculated on the basis of middle rates, from January to November 2000 and from January 2006 calculated on the basis of buying and selling rates for the US dollar in Liberia in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
"",Comment on 2012-04: Calculated using exchange rate on 1 May 2012.,
